Date,Close,Change,Fluctuation,Open,High,Low,Volume,Transaction,Market_cap
2021.7.2,1038.18,2.54,0.25,1036.28,1038.54,1033.94,1685412,1.23E+07,4.34E+08
2021.7.1,1035.64,5.68,0.55,1030.48,1036.47,1028.48,1686830,1.12E+07,4.33E+08
2021.6.30,1029.96,7.44,0.73,1023.74,1030.94,1023.74,2086090,1.04E+07,4.31E+08
2021.6.29,1022.52,4.61,0.45,1019.64,1026.83,1019.28,2061942,1.19E+07,4.28E+08
2021.6.28,1017.91,5.78,0.57,1013.47,1018.76,1013.47,1587502,9860923,4.26E+08
2021.6.25,1012.13,-0.49,-0.05,1013.97,1018.98,1011.31,1340335,9845816,4.23E+08
2021.6.24,1012.62,-3.84,-0.38,1017.11,1019.35,1010.18,1862769,1.28E+07,4.23E+08
2021.6.23,1016.46,4.9,0.48,1012.78,1020.85,1012.78,1861226,1.54E+07,4.25E+08
2021.6.22,1011.56,0.57,0.06,1012.01,1016.7,1008.11,1611178,1.14E+07,4.22E+08
2021.6.21,1010.99,-4.89,-0.48,1014.59,1014.59,1006.83,1506151,1.11E+07,4.22E+08
2021.6.18,1015.88,12.16,1.21,1004.57,1016.33,1004.57,1849423,1.16E+07,4.24E+08
2021.6.17,1003.72,5.23,0.52,998.27,1004.7,994.76,1879605,1.01E+07,4.19E+08
2021.6.16,998.49,1.12,0.11,997.68,1000.43,995.35,1435444,8458793,4.16E+08
2021.6.15,997.37,-0.04,0,998.05,999.53,993.64,1643386,9272013,4.16E+08
2021.6.14,997.41,6.28,0.63,992.8,998.85,991.93,1410030,8648789,4.16E+08
2021.6.11,991.13,3.36,0.34,989.39,993.9,989.15,1548048,9302576,4.13E+08
2021.6.10,987.77,8.98,0.92,979.52,993.08,979.47,1822082,1.12E+07,4.12E+08
2021.6.9,978.79,-7.33,-0.74,986.59,989.15,978.79,1687026,1.07E+07,4.08E+08
2021.6.8,986.12,0.26,0.03,986.43,988.35,982.75,1870820,1.06E+07,4.11E+08
2021.6.7,985.86,-1.72,-0.17,989.16,993.06,982.14,1954563,9593189,4.11E+08
2021.6.4,987.58,-2.61,-0.26,990.16,990.16,983.02,2145264,9881302,4.12E+08
2021.6.3,990.19,9.09,0.93,981.52,992.01,981.52,1704638,8903653,4.13E+08
2021.6.2,981.1,-3.49,-0.35,985.5,986,977.74,1608838,9639646,4.09E+08
2021.6.1,984.59,2.81,0.29,982.25,984.61,979.13,1779135,9307165,4.10E+08
2021.5.31,981.78,4.32,0.44,979,983.41,979,1639881,9035639,4.09E+08
2021.5.28,977.46,3.38,0.35,974.55,979.59,973.76,1577408,8791949,4.07E+08
2021.5.27,974.08,8.02,0.83,967.01,974.29,960.64,1846140,9837962,4.06E+08
2021.5.26,966.06,3.99,0.41,962.69,967.49,962.69,1939820,9619792,4.02E+08
2021.5.25,962.07,13.7,1.44,949.78,963.4,949.78,1681868,9513732,4.00E+08
2021.5.24,948.37,-17.26,-1.79,965.23,965.23,948.37,1540417,9572310,3.95E+08
2021.5.21,965.63,-5.5,-0.57,972.3,979.37,965.55,1533585,9504922,4.02E+08
2021.5.20,971.13,2.03,0.21,968.35,971.62,962.78,1531654,8678381,4.04E+08
2021.5.18,969.1,6.6,0.69,962.83,969.79,959.98,1422393,9981062,4.01E+08
2021.5.17,962.5,-4.22,-0.44,968.02,973.35,958.64,1458831,1.01E+07,3.98E+08
2021.5.14,966.72,14.95,1.57,953.91,967.18,953.91,1563429,9811854,3.99E+08
2021.5.13,951.77,-15.33,-1.59,963.31,965.27,948.04,1445730,1.05E+07,3.93E+08
2021.5.12,967.1,-11.51,-1.18,978.27,979.99,958.57,1973034,1.10E+07,3.99E+08
2021.5.11,978.61,-14.19,-1.43,991.41,991.41,974.1,1413548,9057854,4.04E+08
2021.5.10,992.8,14.5,1.48,979.38,993.06,979.38,1321822,9194819,4.09E+08
2021.5.7,978.3,8.31,0.86,970.96,981.04,970.96,1268172,8329520,4.03E+08
2021.5.6,969.99,2.79,0.29,966.62,971.65,961.16,1144812,7410518,4.00E+08
2021.5.4,967.2,5.39,0.56,961.32,967.68,944.15,1548789,9663136,3.99E+08
2021.5.3,961.81,-21.64,-2.2,982.97,986.2,961.3,1463944,9138619,3.97E+08
2021.4.30,983.45,-7.24,-0.73,991.08,995.74,975.66,1467202,9529737,4.06E+08
2021.4.29,990.69,-7.58,-0.76,999.01,1004.57,983.73,1931274,1.10E+07,4.08E+08
2021.4.28,998.27,-22.74,-2.23,1021.13,1021.13,995.96,3244383,1.37E+07,4.11E+08
2021.4.27,1021.01,-9.05,-0.88,1030.29,1031.95,1019.81,3413757,1.37E+07,4.20E+08
2021.4.26,1030.06,3.24,0.32,1027.4,1030.6,1025.73,2927455,1.36E+07,4.23E+08
2021.4.23,1026.82,1.11,0.11,1024.29,1029.79,1018.87,4099784,1.37E+07,4.22E+08
2021.4.22,1025.71,3.49,0.34,1023.65,1029.8,1023.43,4090170,1.37E+07,4.23E+08
2021.4.21,1022.22,-9.66,-0.94,1031.26,1031.26,1019.59,2887742,1.26E+07,4.21E+08
2021.4.20,1031.88,2.42,0.24,1029.18,1031.9,1025.48,1768976,1.15E+07,4.24E+08
2021.4.19,1029.46,7.84,0.77,1022.06,1032.64,1020.58,2005257,1.27E+07,4.23E+08
2021.4.16,1021.62,7.72,0.76,1015.71,1022.36,1014.4,2070394,1.28E+07,4.21E+08
2021.4.15,1013.9,-0.52,-0.05,1014.34,1014.72,1008.8,2618274,1.31E+07,4.17E+08
2021.4.14,1014.42,4.05,0.4,1011.35,1016.06,1009.34,3177260,1.31E+07,4.17E+08
2021.4.13,1010.37,9.72,0.97,1001,1010.8,1001,3655477,1.45E+07,4.15E+08
2021.4.12,1000.65,11.26,1.14,992.31,1000.78,990.32,1910153,1.18E+07,4.11E+08
2021.4.9,989.39,7.37,0.75,983.4,991.17,983.4,1593415,1.11E+07,4.05E+08
2021.4.8,982.02,8.8,0.9,974.14,982.04,969.53,1909599,1.25E+07,4.02E+08
2021.4.7,973.22,4.59,0.47,969.3,974.11,968.35,2044987,1.16E+07,3.98E+08
2021.4.6,968.63,-1.14,-0.12,971.11,974.14,964.62,2413259,1.25E+07,3.96E+08
2021.4.5,969.77,-0.32,-0.03,971.04,973.57,966.52,1927322,1.09E+07,3.97E+08
2021.4.2,970.09,4.31,0.45,967.56,971.17,966.34,2331145,1.25E+07,3.97E+08
2021.4.1,965.78,9.61,1.01,956.87,965.81,954.93,2007570,1.16E+07,3.95E+08
2021.3.31,956.17,-1.89,-0.2,958.38,961.02,954.17,1854442,1.12E+07,3.88E+08
2021.3.30,958.06,3.96,0.42,954.54,959.88,954.54,2027305,1.09E+07,3.89E+08
2021.3.29,954.1,-2.6,-0.27,956.88,961.73,952.22,2388776,1.03E+07,3.87E+08
2021.3.26,956.7,1.71,0.18,955.68,959.46,951.13,2125125,9859025,3.88E+08
2021.3.25,954.99,1.17,0.12,953.26,955.24,948.34,1751079,1.06E+07,3.87E+08
2021.3.24,953.82,7.51,0.79,946.23,954.2,939.19,1729386,1.08E+07,3.87E+08
2021.3.23,946.31,-9.07,-0.95,956.1,962.65,945.97,2041534,1.09E+07,3.84E+08
2021.3.22,955.38,3.27,0.34,953.04,957.52,948.77,1777228,1.05E+07,3.88E+08
2021.3.19,952.11,2.28,0.24,946.61,953.06,935.27,1664273,9633981,3.86E+08
2021.3.18,949.83,6.05,0.64,945.11,953.1,945.11,2062910,1.13E+07,3.85E+08
2021.3.17,943.78,3.13,0.33,941.2,943.78,935.11,2756482,1.18E+07,3.83E+08
2021.3.16,940.65,13.75,1.48,928.17,941,928.17,3365162,1.28E+07,3.82E+08
2021.3.15,926.9,1.41,0.15,926.04,929.69,921.71,2341585,9808562,3.75E+08
2021.3.12,925.49,17.48,1.93,910.41,925.9,910.41,2856193,1.14E+07,3.77E+08
2021.3.11,908.01,17.94,2.02,890.97,908.01,890.97,2424907,1.08E+07,3.69E+08
2021.3.10,890.07,-6.29,-0.7,900.19,911.04,890.07,2879346,1.10E+07,3.61E+08
2021.3.9,896.36,-8.41,-0.93,904.04,904.04,877.73,3506190,1.25E+07,3.64E+08
2021.3.8,904.77,-18.71,-2.03,925.19,931.14,904.62,3318912,1.11E+07,3.67E+08
2021.3.5,923.48,-2.72,-0.29,923.32,924.42,907.41,2167990,1.15E+07,3.75E+08
2021.3.4,926.2,-4.6,-0.49,929.09,929.09,916.75,2448987,1.14E+07,3.76E+08
2021.3.3,930.8,7.63,0.83,922.52,930.86,920.07,3392815,1.12E+07,3.78E+08
2021.3.2,923.17,9.23,1.01,919.17,936.61,914.49,2959663,1.19E+07,3.75E+08
2021.2.26,913.94,-22.27,-2.38,930.54,930.54,904.18,2642760,1.37E+07,3.71E+08
2021.2.25,936.21,29.9,3.3,910.15,936.94,910.15,2445198,1.36E+07,3.80E+08
2021.2.24,906.31,-30.29,-3.23,936.8,944.71,906.31,3622292,1.50E+07,3.68E+08
2021.2.23,936.6,-17.69,-1.85,952.23,952.23,934.35,3388332,1.48E+07,3.78E+08
2021.2.22,954.29,-10.82,-1.12,965.55,969.96,953.48,2731249,1.31E+07,3.85E+08
2021.2.19,965.11,-2.31,-0.24,967.65,968.92,944.74,4388461,1.45E+07,3.89E+08
2021.2.18,967.42,-12.35,-1.26,980.01,981.83,967.42,4408951,1.61E+07,3.90E+08
2021.2.17,979.77,2.03,0.21,977.93,979.9,970.55,5067755,1.72E+07,3.94E+08
2021.2.16,977.74,-4.23,-0.43,982.81,987.89,974.3,2985481,1.78E+07,3.94E+08
2021.2.15,981.97,17.66,1.83,965.83,982.78,965.83,3028376,1.34E+07,3.95E+08
2021.2.10,964.31,6.46,0.67,958.45,964.66,951.21,2806752,1.09E+07,3.88E+08
2021.2.9,957.85,-2.93,-0.3,961.31,966.22,957.69,3198992,1.15E+07,3.85E+08
2021.2.8,960.78,-6.64,-0.69,966.94,968.03,956.93,2128326,1.11E+07,3.86E+08
2021.2.5,967.42,2.84,0.29,965.61,970.6,961.26,1988201,1.09E+07,3.89E+08
2021.2.4,964.58,-6.11,-0.63,970.93,970.95,958.05,2164705,1.04E+07,3.88E+08
2021.2.3,970.69,6.88,0.71,965.99,970.85,958.47,1912432,1.24E+07,3.90E+08
2021.2.2,963.81,6.89,0.72,958.85,972.35,953.72,1957392,1.20E+07,3.87E+08
2021.2.1,956.92,28.19,3.04,927.92,957.26,918.92,1546510,1.05E+07,3.84E+08
2021.1.29,928.73,-32.5,-3.38,963.58,970.95,918.68,2190877,1.49E+07,3.74E+08
2021.1.28,961.23,-24.69,-2.5,980.7,980.7,957.17,1951603,1.36E+07,3.86E+08
2021.1.27,985.92,-8.08,-0.81,996.42,1000.75,984.37,2857962,1.51E+07,3.96E+08
2021.1.26,994,-5.3,-0.53,1000,1007.52,989.03,2651486,1.67E+07,3.98E+08
2021.1.25,999.3,19.32,1.97,981.05,999.64,981.05,1850119,1.38E+07,4.00E+08
2021.1.22,979.98,-1.42,-0.14,982.2,984.67,975.05,2288183,1.50E+07,3.93E+08
2021.1.21,981.4,3.74,0.38,979.82,984.98,975.62,1995071,1.38E+07,3.92E+08
2021.1.20,977.66,19.91,2.08,959.52,978.88,959.52,2441709,1.45E+07,3.90E+08
2021.1.19,957.75,13.08,1.38,945.33,962.14,936.93,2107756,1.34E+07,3.82E+08
2021.1.18,944.67,-19.77,-2.05,963.18,967.05,940.11,2040501,1.38E+07,3.76E+08
2021.1.15,964.44,-15.85,-1.62,981.72,982.31,963.09,1844766,1.47E+07,3.84E+08
2021.1.14,980.29,1.16,0.12,979.1,980.29,973.63,1736167,1.39E+07,3.90E+08
2021.1.13,979.13,5.41,0.56,974.14,982.66,972.1,1635161,1.31E+07,3.90E+08
2021.1.12,973.72,-2.91,-0.3,977.14,982.46,956.72,1741984,1.39E+07,3.88E+08
2021.1.11,976.63,-11.16,-1.13,988.38,993.2,953.36,2201087,2.04E+07,3.89E+08
2021.1.8,987.79,-1.07,-0.11,990.7,995.22,978.12,2557366,2.04E+07,3.93E+08
2021.1.7,988.86,7.47,0.76,983.28,993.91,982.27,2256785,1.82E+07,3.93E+08
2021.1.6,981.39,-4.37,-0.44,987.25,990.88,977.37,1980416,1.75E+07,3.90E+08
2021.1.5,985.76,8.14,0.83,976.43,985.76,965.53,1808189,1.87E+07,3.92E+08
2021.1.4,977.62,9.2,0.95,968.86,977.62,960.52,1697123,1.69E+07,3.89E+08
2020.12.30,968.42,11.01,1.15,957.38,971.04,955.38,1638729,1.66E+07,3.86E+08
2020.12.29,957.41,30.41,3.28,928.58,957.48,928.58,1510814,1.54E+07,3.81E+08
2020.12.28,927,-1.68,-0.18,930.07,937.76,923.96,1642275,1.69E+07,3.71E+08
2020.12.24,928.68,5.51,0.6,924.34,933.39,920.53,1724766,1.44E+07,3.71E+08
2020.12.23,923.17,-5.56,-0.6,932.25,938.91,918.44,1924137,1.73E+07,3.69E+08
2020.12.22,928.73,-24.85,-2.61,953.48,953.48,928.51,1856456,1.65E+07,3.70E+08
2020.12.21,953.58,6.34,0.67,948.64,954.34,940.98,1926451,1.61E+07,3.80E+08
2020.12.18,947.24,3.2,0.34,945.81,948.59,942.46,2114839,1.45E+07,3.77E+08
2020.12.17,944.04,4.39,0.47,938.88,948.43,938.88,2650706,1.60E+07,3.75E+08
