날짜,시간,국가,경제지표,실제,예상,이전,중요도
03.05 (Fri), 09:00,cn,전국 인민 대회 ,,,,상
03.05 (Fri), 09:00,cn,Premier Li Keqiang Speech ,,,,상
03.04 (Thu), 09:00,cn,전국 인민 대회 ,,,,상
03.01 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Feb,50.9,51.5,51.5,상
02.28 (Sun), 17:00,cn,NBS 제조업 구매자관리자지수(PMI) Feb,50.6,51.1,51.3,상
02.26 (Fri), 22:30,us,개인소비 Jan,2.4%,2.5%,-0.4%,상
02.26 (Fri), 22:30,us,개인소득 (MoM) Jan,10%,9.5%,0.6%,상
02.25 (Thu), 22:30,us,내구재 주문 (월간) Jan,3.4%,1.1%,1.2%,상
02.23 (Tue), 16:00,gb,실업수당청구 변동 Jan,-20K,,-20.4K,상
02.20 (Sat), 10:30,cn,대출 금리 1 년 ,3.85%,,3.85%,상
02.19 (Fri), 09:01,gb,GFK 소비자 신뢰지수 Feb,-23,-27,-28,상
02.18 (Thu), 04:00,us,FOMC 회의록 ,,,,상
02.17 (Wed), 22:30,us,월간 소매 판매 Jan,5.3%,1.1%,-1%,상
02.17 (Wed), 16:00,gb,인플레이션율(YoY) Jan,0.7%,0.6%,0.6%,상
02.12 (Fri), 16:00,gb,무역수지 Dec,&pound;-6.2B,,&pound;-6.6B,상
02.10 (Wed), 22:30,us,핵심물가상승률 (YoY) Jan,1.4%,1.5%,1.6%,상
02.10 (Wed), 22:30,us,인플레이션율(YoY) Jan,1.4%,1.5%,1.4%,상
02.10 (Wed), 10:30,cn,인플레이션율(YoY) Jan,-0.3%,0.0%,0.2%,상
02.05 (Fri), 22:30,us,비 농장 급여 Jan,49K,50K,-227K,상
02.05 (Fri), 22:30,us,무역수지 Dec,$-66.6B,$-65.7B,$-69B,상
02.01 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Jan,51.5,52.7,53,상
01.31 (Sun), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Jan,51.3,51.6,51.9,상
01.29 (Fri), 22:30,us,개인소비 Dec,-0.2%,-0.4%,-0.7%,상
01.29 (Fri), 22:30,us,개인소득 (MoM) Dec,0.6%,0.1%,-1.3%,상
01.28 (Thu), 22:30,us,경제성장률(QoQ) 추정 Q4,4%,4%,33.4%,상
01.28 (Thu), 04:30,us,연준 기자 회견 ,,,,상
01.28 (Thu), 04:00,us,연준 기준금리 결정 ,0.25%,0.25%,0.25%,상
01.27 (Wed), 22:30,us,내구재 주문 (월간) Dec,0.2%,0.9%,1.2%,상
01.26 (Tue), 16:00,gb,실업수당청구 변동 Dec,7K,35K,38.1K,상
01.22 (Fri), 09:01,gb,GFK 소비자 신뢰지수 Jan,-28,-29,-26,상
01.20 (Wed), 16:00,gb,인플레이션율(YoY) Dec,0.6%,0.5%,0.3%,상
01.20 (Wed), 10:30,cn,대출 금리 1 년 ,3.85%,,3.85%,상
01.20 (Wed), 00:00,us,Treasury Secretary Yellen Senate Confirmation Hearing,,,,상
01.15 (Fri), 22:30,us,월간 소매 판매 Dec,-0.7%,0%,-1.4%,상
01.15 (Fri), 16:00,gb,무역수지 Nov,&pound;-5B,,&pound;-2.3B,상
01.13 (Wed), 22:30,us,핵심물가상승률 (YoY) Dec,1.6%,1.6%,1.6%,상
01.13 (Wed), 22:30,us,인플레이션율(YoY) Dec,1.4%,1.3%,1.2%,상
01.11 (Mon), 10:30,cn,인플레이션율(YoY) Dec,0.2%,0.1%,-0.5%,상
01.08 (Fri), 22:30,us,비 농장 급여 Dec,-140K,71K,336K,상
01.07 (Thu), 22:30,us,무역수지 Nov,$-68.1B,$-65.2B,$-63.1B,상
01.04 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Dec,53,54.8,54.9,상
12.31 (Thu), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Dec,51.9,52,52.1,상
12.23 (Wed), 22:30,us,내구재 주문 (월간) Nov,0.9%,0.6%,1.8%,상
12.23 (Wed), 22:30,us,개인소비 Nov,-0.4%,-0.2%,0.3%,상
12.23 (Wed), 22:30,us,개인소득 (MoM) Nov,-1.1%,-0.3%,-0.6%,상
12.21 (Mon), 10:30,cn,대출 금리 1 년 ,3.85%,3.85%,3.85%,상
12.18 (Fri), 09:01,gb,GFK 소비자 신뢰지수 Dec,-26,-31,-33,상
12.16 (Wed), 22:30,us,월간 소매 판매 Nov,-1.1%,-0.3%,-0.1%,상
12.16 (Wed), 16:00,gb,인플레이션율(YoY) Nov,0.3%,0.6%,0.7%,상
12.15 (Tue), 16:00,gb,실업수당청구 변동 Nov,64.3K,,-29.8K,상
12.10 (Thu), 22:30,us,인플레이션율(YoY) Nov,1.2%,1.1%,1.2%,상
12.10 (Thu), 22:30,us,핵심물가상승률 (YoY) Nov,1.6%,1.6%,1.6%,상
12.10 (Thu), 16:00,gb,무역수지 Oct,&pound;-1.7B,,&pound;0.6B,상
12.09 (Wed), 10:30,cn,인플레이션율(YoY) Nov,-0.5%,0%,0.5%,상
12.04 (Fri), 22:30,us,비 농장 급여 Nov,245K,469K,610K,상
12.04 (Fri), 22:30,us,무역수지 Oct,$-63.1B,$-64.8B,$-62.1B,상
12.01 (Tue), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Nov,54.9,53.5,53.6,상
11.30 (Mon), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Nov,52.1,51.5,51.4,상
11.26 (Thu), 00:00,us,개인소득 (MoM) Oct,-0.7%,0%,0.7%,상
11.26 (Thu), 00:00,us,개인소비 Oct,0.5%,0.4%,1.2%,상
11.25 (Wed), 22:30,us,내구재 주문 (월간) Oct,1.3%,0.9%,2.1%,상
11.20 (Fri), 10:30,cn,대출 금리 1 년 ,3.85%,,3.85%,상
11.20 (Fri), 09:01,gb,GFK 소비자 신뢰지수 Nov,-33,-34,-31,상
11.18 (Wed), 16:00,gb,인플레이션율(YoY) Oct,0.7%,0.6%,0.5%,상
11.17 (Tue), 22:30,us,월간 소매 판매 Oct,0.3%,0.5%,1.6%,상
11.12 (Thu), 22:30,us,핵심물가상승률 (YoY) Oct,1.6%,1.8%,1.7%,상
11.12 (Thu), 22:30,us,인플레이션율(YoY) Oct,1.2%,1.3%,1.4%,상
11.12 (Thu), 16:00,gb,경제성장률(QoQ) 예상 Q3,15.5%,15.8%,-19.8%,상
11.12 (Thu), 16:00,gb,경제성장률(YoY) 예상 Q3,-9.6%,-9.4%,-21.5%,상
11.12 (Thu), 16:00,gb,무역수지 Sep,&pound;0.6B,,&pound;2.9B,상
11.10 (Tue), 16:00,gb,실업수당청구 변동 Oct,-29.8K,50K,-40.2K,상
11.10 (Tue), 10:30,cn,인플레이션율(YoY) Oct,0.5%,0.8%,1.7%,상
11.06 (Fri), 22:30,us,비 농장 급여 Oct,638K,600K,672K,상
11.06 (Fri), 04:00,us,연준 기준금리 결정 ,0.25%,0.25%,0.25%,상
11.05 (Thu), 16:00,gb,영란은행 기준금리 결정 ,0.1%,0.1%,0.1%,상
11.04 (Wed), 22:30,us,무역수지 Sep,$-63.9B,$-63.8B,$-67B,상
11.03 (Tue), 09:00,us,대통령 선거 ,,,,상
11.02 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Oct,53.6,53,53,상
10.31 (Sat), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Oct,51.4,51.3,51.5,상
10.30 (Fri), 21:30,us,개인소비 Sep,1.4%,1%,1%,상
10.30 (Fri), 21:30,us,개인소득 (MoM) Sep,0.9%,0.4%,-2.5%,상
10.29 (Thu), 21:30,us,경제성장률(QoQ) 추정 Q3,33.1%,31%,-31.4%,상
10.27 (Tue), 21:30,us,내구재 주문 (월간) Sep,1.9%,0.5%,0.4%,상
10.23 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Oct,-31,-28,-30,상
10.21 (Wed), 15:00,gb,인플레이션율(YoY) Sep,0.5%,0.5%,0.2%,상
10.20 (Tue), 10:30,cn,대출 금리 1 년 ,3.85%,3.85%,3.85%,상
10.19 (Mon), 11:00,cn,경제성장률(YoY) Q3,4.9%,5.2%,3.2%,상
10.16 (Fri), 21:30,us,월간 소매 판매 Sep,1.9%,0.7%,0.6%,상
10.15 (Thu), 10:30,cn,인플레이션율(YoY) Sep,1.7%,1.8%,2.4%,상
10.13 (Tue), 21:30,us,인플레이션율(YoY) Sep,1.4%,1.4%,1.3%,상
10.13 (Tue), 21:30,us,핵심물가상승률 (YoY) Sep,1.7%,1.8%,1.7%,상
10.13 (Tue), 15:00,gb,실업수당청구 변동 Sep,28K,78.8K,39.5K,상
10.09 (Fri), 15:00,gb,무역수지 Aug,&pound;1.4B,,&pound;1.7B,상
10.06 (Tue), 21:30,us,무역수지 Aug,$-67.1B,$-66.1B,$-63.4B,상
10.02 (Fri), 21:30,us,비 농장 급여 Sep,661K,850K,1489K,상
10.01 (Thu), 21:30,us,개인소득 (MoM) Aug,-2.7%,-2.4%,0.5%,상
10.01 (Thu), 21:30,us,개인소비 Aug,1%,0.8%,1.5%,상
09.30 (Wed), 21:30,us,경제성장률(QoQ) 최종 Q2,-31.4%,-31.7%,-5%,상
09.30 (Wed), 15:00,gb,경제성장률(YoY) 최종 Q2,-21.5%,-21.7%,-2.1%,상
09.30 (Wed), 15:00,gb,경제성장률(QoQ) 최종 Q2,-19.8%,-20.4%,-2.5%,상
09.30 (Wed), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Sep,53,53.1,53.1,상
09.30 (Wed), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Sep,51.5,51.2,51,상
09.25 (Fri), 21:30,us,내구재 주문 (월간) Aug,0.4%,1.5%,11.7%,상
09.25 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Sep,-25,-27,-27,상
09.24 (Thu), 20:30,gb,Winter Economy Plan ,,,,상
09.21 (Mon), 10:30,cn,대출 금리 1 년 ,3.85%,3.85%,3.85%,상
09.17 (Thu), 20:00,gb,영란은행 기준금리 결정 ,0.1%,0.1%,0.1%,상
09.17 (Thu), 03:00,us,연준 기준금리 결정 ,0.25%,0.25%,0.25%,상
09.16 (Wed), 21:30,us,월간 소매 판매 Aug,0.6%,1%,0.9%,상
09.16 (Wed), 15:00,gb,인플레이션율(YoY) Aug,0.2%,0%,1%,상
09.15 (Tue), 15:00,gb,실업수당청구 변동 Aug,73.7K,100K,69.9K,상
09.11 (Fri), 21:30,us,핵심물가상승률 (YoY) Aug,1.7%,1.6%,1.6%,상
09.11 (Fri), 21:30,us,인플레이션율(YoY) Aug,1.3%,1.2%,1%,상
09.11 (Fri), 15:00,gb,무역수지 Jul,&pound;1.1B,,&pound;3.9B,상
09.09 (Wed), 10:30,cn,인플레이션율(YoY) Aug,2.4%,2.4%,2.7%,상
09.04 (Fri), 21:30,us,비 농장 급여 Aug,1371K,1400K,1734K,상
09.03 (Thu), 21:30,us,무역수지 Jul,$-63.6B,$-58B,$-53.5B,상
09.01 (Tue), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Aug,53.1,52.6,52.8,상
08.31 (Mon), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Aug,51,51.2,51.1,상
08.28 (Fri), 21:30,us,개인소득 (MoM) Jul,0.4%,-0.2%,-1%,상
08.28 (Fri), 21:30,us,개인소비 Jul,1.9%,1.5%,6.2%,상
08.27 (Thu), 21:30,us,경제성장률(QoQ) 2차 추정치 Q2,-31.7%,-32.5%,-5%,상
08.26 (Wed), 21:30,us,내구재 주문 (월간) Jul,11.2%,4.3%,7.7%,상
08.21 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Aug,-27,-25,-27,상
08.20 (Thu), 10:30,cn,대출 금리 1 년 ,3.85%,,3.85%,상
08.19 (Wed), 15:00,gb,인플레이션율(YoY) Jul,1%,0.6%,0.6%,상
08.14 (Fri), 21:30,us,월간 소매 판매 Jul,1.2%,1.9%,8.4%,상
08.12 (Wed), 21:30,us,인플레이션율(YoY) Jul,1%,0.8%,0.6%,상
08.12 (Wed), 21:30,us,핵심물가상승률 (YoY) Jul,1.6%,1.1%,1.2%,상
08.12 (Wed), 15:00,gb,경제성장률(QoQ) 예상 Q2,-20.4%,-20.5%,-2.2%,상
08.12 (Wed), 15:00,gb,경제성장률(YoY) 예상 Q2,-21.7%,-22.4%,-1.7%,상
08.12 (Wed), 15:00,gb,무역수지 Jun,&pound;5.3B,,&pound;7.7B,상
08.11 (Tue), 15:00,gb,실업수당청구 변동 Jul,94.4K,10K,-28.1K,상
08.10 (Mon), 10:30,cn,인플레이션율(YoY) Jul,2.7%,2.6%,2.5%,상
08.07 (Fri), 21:30,us,비 농장 급여 Jul,1763K,1600K,4800K,상
08.06 (Thu), 15:00,gb,영란은행 기준금리 결정 ,0.1%,0.1%,0.1%,상
08.05 (Wed), 21:30,us,무역수지 Jun,$-50.7B,$-50.1B,$-54.8B,상
08.03 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Jul,52.8,51.3,51.2,상
07.31 (Fri), 21:30,us,개인소득 (MoM) Jun,-1.1%,-0.5%,-4.4%,상
07.31 (Fri), 21:30,us,개인소비 Jun,5.6%,5.5%,8.5%,상
07.31 (Fri), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Jul,51.1,50.7,50.9,상
07.30 (Thu), 21:30,us,경제성장률(QoQ) 추정 Q2,-32.9%,-34.1%,-5%,상
07.30 (Thu), 03:00,us,연준 기준금리 결정 ,0.25%,0.25%,0.25%,상
07.27 (Mon), 21:30,us,내구재 주문 (월간) Jun,7.3%,7%,15.1%,상
07.24 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Jul,-27,-26,-30,상
07.20 (Mon), 10:30,cn,대출 금리 1 년 ,3.85%,3.85%,3.85%,상
07.17 (Fri), 09:01,gb,Gfk Consumer Confidence Flash Jul,,-26,-30,상
07.16 (Thu), 21:30,us,월간 소매 판매 Jun,7.5%,5%,18.2%,상
07.16 (Thu), 15:00,gb,실업수당청구 변동 Jun,-28.1K,250K,566.4K,상
07.16 (Thu), 11:00,cn,경제성장률(YoY) Q2,3.2%,2.5%,-6.8%,상
07.15 (Wed), 15:00,gb,인플레이션율(YoY) Jun,0.6%,0.4%,0.5%,상
07.14 (Tue), 21:30,us,인플레이션율(YoY) Jun,0.6%,0.6%,0.1%,상
07.14 (Tue), 21:30,us,핵심물가상승률 (YoY) Jun,1.2%,1.1%,1.2%,상
07.14 (Tue), 15:00,gb,무역수지 May,&pound;4.3B,,&pound;2.3B,상
07.09 (Thu), 10:30,cn,인플레이션율(YoY) Jun,2.5%,2.5%,2.4%,상
07.08 (Wed), 20:30,gb,Supplementary Budget ,,,,상
07.03 (Fri), 08:01,gb,Gfk Consumer Confidence Final Jun,-27,,-30,상
07.02 (Thu), 21:30,us,무역수지 May,$-54.6B,$-53B,$-49.8B,상
07.02 (Thu), 21:30,us,비 농장 급여 Jun,4800K,3000K,2699K,상
07.01 (Wed), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Jun,51.2,50.5,50.7,상
06.30 (Tue), 15:00,gb,경제성장률(YoY) 최종 Q1,-1.7%,-1.6%,1.1%,상
06.30 (Tue), 15:00,gb,경제성장률(QoQ) 최종 Q1,-2.2%,-2%,0.0%,상
06.30 (Tue), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Jun,50.9,50.4,50.6,상
06.26 (Fri), 21:30,us,개인소비 May,8.2%,9%,-12.6%,상
06.26 (Fri), 21:30,us,개인소득 (MoM) May,-4.2%,-6%,10.8%,상
06.25 (Thu), 21:30,us,경제성장률(QoQ) 최종 Q1,-5%,-5%,2.1%,상
06.25 (Thu), 21:30,us,내구재 주문 (월간) May,15.8%,10.9%,-18.1%,상
06.22 (Mon), 10:30,cn,대출 금리 1 년 ,3.85%,,3.85%,상
06.18 (Thu), 20:00,gb,영란은행 기준금리 결정 ,0.1%,0.1%,0.1%,상
06.17 (Wed), 15:00,gb,인플레이션율(YoY) May,0.5%,0.5%,0.8%,상
06.16 (Tue), 21:30,us,월간 소매 판매 May,17.7%,8%,-14.7%,상
06.16 (Tue), 15:00,gb,실업수당청구 변동 May,528.9K,400K,1032.7K,상
06.12 (Fri), 15:00,gb,무역수지 Apr,&pound;0.31B,,&pound;-3.96B,상
06.11 (Thu), 03:00,us,연준 기준금리 결정 ,0.25%,0.25%,0.25%,상
06.10 (Wed), 21:30,us,인플레이션율(YoY) May,0.1%,0.2%,0.3%,상
06.10 (Wed), 21:30,us,핵심물가상승률 (YoY) May,1.2%,1.3%,1.4%,상
06.10 (Wed), 10:30,cn,인플레이션율(YoY) May,2.4%,2.7%,3.3%,상
06.05 (Fri), 21:30,us,비 농장 급여 May,2509K,-8000K,-20687K,상
06.05 (Fri), 08:01,gb,Gfk Consumer Confidence Final May,-36,-34,-33,상
06.04 (Thu), 21:30,us,무역수지 Apr,$-49.4B,$-49B,$-42.3B,상
06.01 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) May,50.7,49.6,49.4,상
05.31 (Sun), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) May,50.6,51,50.8,상
05.29 (Fri), 21:30,us,개인소득 (MoM) Apr,10.5%,-6.5%,-2.2%,상
05.29 (Fri), 21:30,us,개인소비 Apr,-13.6%,-12.6%,-6.9%,상
05.28 (Thu), 21:30,us,내구재 주문 (월간) Apr,-17.2%,-19%,-16.6%,상
05.28 (Thu), 21:30,us,경제성장률(QoQ) 2차 추정치 Q1,-5%,-4.8%,2.1%,상
05.22 (Fri), 09:00,cn,National People’s Congress ,,,,상
05.22 (Fri), 08:01,gb,GFK 소비자 신뢰지수 May,-34,,-33,상
05.20 (Wed), 15:00,gb,인플레이션율(YoY) Apr,0.8%,0.9%,1.5%,상
05.20 (Wed), 10:30,cn,대출 금리 1 년 ,3.85%,3.85%,3.85%,상
05.19 (Tue), 15:00,gb,실업수당청구 변동 Apr,856.5K,676.5K,12.1K,상
05.15 (Fri), 21:30,us,월간 소매 판매 Apr,-16.4%,-12%,-8.3%,상
05.13 (Wed), 15:00,gb,경제성장률(QoQ) 예상 Q1,-2%,-2.5%,0%,상
05.13 (Wed), 15:00,gb,경제성장률(YoY) 예상 Q1,-1.6%,-2.1%,1.1%,상
05.13 (Wed), 15:00,gb,무역수지 Mar,&pound;-6.7B,,&pound;-1.5B,상
05.12 (Tue), 21:30,us,핵심물가상승률 (YoY) Apr,1.4%,1.7%,2.1%,상
05.12 (Tue), 21:30,us,인플레이션율(YoY) Apr,0.3%,0.4%,1.5%,상
05.12 (Tue), 10:30,cn,인플레이션율(YoY) Apr,3.3%,3.7%,4.3%,상
05.08 (Fri), 21:30,us,비 농장 급여 Apr,-20500K,-22000K,-870K,상
05.08 (Fri), 09:01,gb,Gfk Consumer Confidence Flash May,,,-34,상
05.07 (Thu), 15:00,gb,영란은행 기준금리 결정 ,0.1%,0.1%,0.1%,상
05.05 (Tue), 21:30,us,무역수지 Mar,$-44.4B,$-44B,$-39.8B,상
04.30 (Thu), 21:30,us,개인소비 Mar,-7.5%,-5%,0.2%,상
04.30 (Thu), 21:30,us,개인소득 (MoM) Mar,-2%,-1.5%,0.6%,상
04.30 (Thu), 11:45,cn,Caixin 제조업 구매자관리자지수(PMI) Apr,49.4,50.3,50.1,상
04.30 (Thu), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Apr,50.8,51,52,상
04.30 (Thu), 03:00,us,연준 기준금리 결정 ,0.25%,0.25%,0.25%,상
04.29 (Wed), 21:30,us,경제성장률(QoQ) 추정 Q1,-4.8%,-4%,2.1%,상
04.24 (Fri), 21:30,us,내구재 주문 (월간) Mar,-14.4%,-11.9%,1.1%,상
04.24 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Apr,-34,-40,-34,상
04.22 (Wed), 15:00,gb,인플레이션율(YoY) Mar,1.5%,1.5%,1.7%,상
04.21 (Tue), 15:00,gb,실업수당청구 변동 Mar,12.2K,175K,5.9K,상
04.20 (Mon), 10:30,cn,대출 금리 1 년 ,3.85%,3.85%,4.05%,상
04.17 (Fri), 11:00,cn,경제성장률(YoY) Q1,-6.8%,-6.5%,6%,상
04.15 (Wed), 21:30,us,월간 소매 판매 Mar,-8.7%,-8%,-0.4%,상
04.14 (Tue), 09:00,us,G7 Video Conference Meeting ,,,,상
04.10 (Fri), 21:30,us,인플레이션율(YoY) Mar,1.5%,1.6%,2.3%,상
04.10 (Fri), 21:30,us,핵심물가상승률 (YoY) Mar,2.1%,2.3%,2.4%,상
04.10 (Fri), 10:30,cn,인플레이션율(YoY) Mar,4.3%,4.8%,5.2%,상
04.09 (Thu), 15:00,gb,무역수지 Feb,&pound;-2.8B,,&pound;2.4B,상
04.06 (Mon), 08:01,gb,GFK 소비자 신뢰지수 Mar,-34,,-9,상
04.03 (Fri), 21:30,us,비 농장 급여 Mar,-701K,-100K,275K,상
04.02 (Thu), 21:30,us,무역수지 Feb,$-39.9B,$-40B,$-45.5B,상
04.01 (Wed), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Mar,50.1,45.5,40.3,상
03.31 (Tue), 15:00,gb,경제성장률(YoY) 최종 Q4,1.1%,1.1%,1.3%,상
03.31 (Tue), 15:00,gb,경제성장률(QoQ) 최종 Q4,0.0%,0.0%,0.5%,상
03.31 (Tue), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Mar,52,45,35.7,상
03.31 (Tue), 08:01,gb,GFK 소비자 신뢰지수 Mar,-9,-15,-7,상
03.27 (Fri), 21:30,us,개인소비 Feb,0.2%,0.2%,0.2%,상
03.27 (Fri), 21:30,us,개인소득 (MoM) Feb,0.6%,0.4%,0.6%,상
03.27 (Fri), 21:00,gb,MPs Vote on Coronavirus Bill ,,,,상
03.26 (Thu), 21:30,us,경제성장률(QoQ) 최종 Q4,2.1%,2.1%,2.1%,상
03.26 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.1%,,0.1%,상
03.25 (Wed), 21:30,us,내구재 주문 (월간) Feb,1.2%,-0.8%,0.1%,상
03.25 (Wed), 16:00,gb,인플레이션율(YoY) Feb,1.7%,1.7%,1.8%,상
03.20 (Fri), 10:30,cn,대출 금리 1 년 ,4.05%,,4.05%,상
03.19 (Thu), 23:40,gb,영란은행 기준금리 결정 ,0.1%,,0.25%,상
03.19 (Thu), 03:00,us,연준 기준금리 결정 ,,0.5%,1.25%,상
03.17 (Tue), 21:30,us,월간 소매 판매 Feb,-0.5%,0.2%,0.6%,상
03.17 (Tue), 21:00,us,G7 Conference Call ,,,,상
03.17 (Tue), 18:30,gb,실업수당청구 변동 Feb,17.3K,21.4K,-0.2K,상
03.16 (Mon), 07:30,us,연준 기자 회견 ,,,,상
03.16 (Mon), 06:00,us,연준 기준금리 결정 ,0.25%,,1.25%,상
03.14 (Sat), 04:00,us,President Trump Statement on Coronavirus ,,,,상
03.12 (Thu), 10:00,us,President Trump Statement on Coronavirus ,,,,상
03.11 (Wed), 21:30,gb,Spring Budget 2020 ,,,,상
03.11 (Wed), 21:30,us,인플레이션율(YoY) Feb,2.3%,2.2%,2.5%,상
03.11 (Wed), 21:30,us,핵심물가상승률 (YoY) Feb,2.4%,2.3%,2.3%,상
03.11 (Wed), 18:30,gb,무역수지 Jan,&pound;4.2B,,&pound;6.3B,상
03.11 (Wed), 18:00,gb,BoE Press Conference ,,,,상
03.11 (Wed), 16:00,gb,영란은행 기준금리 결정 ,0.25%,,0.75%,상
03.11 (Wed), 06:30,us,President Trump Speech ,,,,상
03.10 (Tue), 10:30,cn,인플레이션율(YoY) Feb,5.2%,5.2%,5.4%,상
03.06 (Fri), 22:30,us,비 농장 급여 Feb,273K,175K,273K,상
03.06 (Fri), 22:30,us,무역수지 Jan,$-45.3B,$-46.1B,$-48.6B,상
03.06 (Fri), 22:30,us,비 농장 급여 Feb,273K,175K,273K,상
03.06 (Fri), 22:30,us,무역수지 Jan,$-45.3B,$-46.1B,$-48.6B,상
03.05 (Thu), 09:00,cn,National People’s Congress ,,,,상
03.04 (Wed), 01:00,us,연준 기자 회견 ,,,,상
03.04 (Wed), 00:00,us,연준 기준금리 결정 ,1.25%,,1.75%,상
03.03 (Tue), 21:00,us,G7 Conference Call ,,,,상
03.02 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Feb,40.3,45.7,51.1,상
02.29 (Sat), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Feb,35.7,46,50,상
02.28 (Fri), 22:30,us,개인소비 Jan,0.2%,0.3%,0.4%,상
02.28 (Fri), 22:30,us,개인소득 (MoM) Jan,0.6%,0.3%,0.1%,상
02.28 (Fri), 09:01,gb,GFK 소비자 신뢰지수 Feb,-7,-8,-9,상
02.27 (Thu), 22:30,us,내구재 주문 (월간) Jan,-0.2%,-1.5%,2.9%,상
02.27 (Thu), 22:30,us,경제성장률(QoQ) 2차 추정치 Q4,2.1%,2.1%,2.1%,상
02.27 (Thu), 08:00,us,President Trump Speech ,,,,상
02.24 (Mon), 09:00,cn,NPC Committee Meeting ,,,,상
02.20 (Thu), 10:30,cn,대출 금리 1 년 ,4.05%,,4.15%,상
02.19 (Wed), 18:30,gb,인플레이션율(YoY) Jan,1.8%,1.6%,1.3%,상
02.18 (Tue), 18:30,gb,실업수당청구 변동 Jan,5.5K,22.6K,2.6K,상
02.14 (Fri), 22:30,us,월간 소매 판매 Jan,0.3%,0.3%,0.2%,상
02.13 (Thu), 22:30,us,핵심물가상승률 (YoY) Jan,2.3%,2.2%,2.3%,상
02.13 (Thu), 22:30,us,인플레이션율(YoY) Jan,2.5%,2.4%,2.3%,상
02.11 (Tue), 18:30,gb,경제성장률(YoY) 예상 Q4,1.1%,0.8%,1.2%,상
02.11 (Tue), 18:30,gb,경제성장률(QoQ) 예상 Q4,0%,0%,0.5%,상
02.11 (Tue), 18:30,gb,무역수지 Dec,&pound;7.715B,,&pound;1.821B,상
02.10 (Mon), 10:30,cn,인플레이션율(YoY) Jan,5.4%,4.9%,4.5%,상
02.07 (Fri), 22:30,us,비 농장 급여 Jan,225K,160K,147K,상
02.05 (Wed), 22:30,us,무역수지 Dec,$-48.9B,$-48.2B,$-43.7B,상
02.03 (Mon), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) Jan,51.1,51.3,51.5,상
02.01 (Sat), 08:00,gb,Brexit Deadline ,,,,상
01.31 (Fri), 22:30,us,개인소비 Dec,0.3%,0.3%,0.4%,상
01.31 (Fri), 22:30,us,개인소득 (MoM) Dec,0.2%,0.3%,0.4%,상
01.31 (Fri), 10:00,cn,NBS 제조업 구매자관리자지수(PMI) Jan,50,50,50.2,상
01.31 (Fri), 09:01,gb,GFK 소비자 신뢰지수 Jan,-9,-9,-11,상
01.30 (Thu), 22:30,us,경제성장률(QoQ) 추정 Q4,2.1%,2.1%,2.1%,상
01.30 (Thu), 21:00,gb,영란은행 기준금리 결정 ,0.75%,0.75%,0.75%,상
01.30 (Thu), 04:00,us,연준 기준금리 결정 ,1.75%,1.75%,1.75%,상
01.29 (Wed), 21:00,us,USMCA Trade Deal Signature ,,,,상
01.28 (Tue), 22:30,us,내구재 주문 (월간) Dec,2.4%,0.4%,-3.1%,상
01.21 (Tue), 18:30,gb,실업수당청구 변동 Dec,14.9K,22.6K,14.9K,상
01.20 (Mon), 10:30,cn,대출 금리 1 년 ,4.15%,,4.15%,상
01.17 (Fri), 11:00,cn,경제성장률(YoY) Q4,6%,6%,6%,상
01.16 (Thu), 22:30,us,월간 소매 판매 Dec,0.3%,0.3%,0.3%,상
01.16 (Thu), 01:30,us,US-China Phase 1 Trade Deal Signature ,,,,상
01.15 (Wed), 18:30,gb,인플레이션율(YoY) Dec,1.3%,1.5%,1.5%,상
