Date,Institution,Individual,Foreign,Total
1999-06-22,-81787.0,96489.0,-14702.0,0.0
1999-06-23,51729.0,-64055.0,12326.0,0.0
1999-06-24,-44128.0,83688.0,-39560.0,0.0
1999-06-25,-55007.0,197743.0,-142736.0,0.0
1999-06-28,71615.0,88318.0,-159934.0,0.0
1999-06-29,-5949.0,102857.0,-96909.0,0.0
1999-06-30,-53595.0,67506.0,-13911.0,0.0
1999-07-01,107492.0,-270038.0,162545.0,0.0
1999-07-02,73777.0,-198885.0,125109.0,0.0
1999-07-05,194955.0,-297375.0,102420.0,0.0
1999-07-06,221725.0,-155371.0,-66354.0,0.0
1999-07-07,355953.0,-180906.0,-175048.0,0.0
1999-07-08,135716.0,148289.0,-284005.0,0.0
1999-07-09,324280.0,-217436.0,-106843.0,0.0
1999-07-12,344093.0,-315979.0,-28114.0,0.0
1999-07-13,220025.0,-13737.0,-206288.0,0.0
1999-07-14,76185.0,27142.0,-103327.0,0.0
1999-07-15,125057.0,-44923.0,-80134.0,0.0
1999-07-16,148526.0,-206507.0,57980.0,0.0
1999-07-19,-116347.0,129810.0,-13463.0,0.0
1999-07-20,20709.0,58367.0,-79076.0,0.0
1999-07-21,-191571.0,302121.0,-110550.0,0.0
1999-07-22,-5235.0,143177.0,-137942.0,0.0
1999-07-23,-20798.0,200492.0,-179694.0,0.0
1999-07-26,244666.0,-90726.0,-153940.0,0.0
1999-07-27,44150.0,46471.0,-90620.0,0.0
1999-07-28,292472.0,-350268.0,57796.0,0.0
1999-07-29,428161.0,-345520.0,-82640.0,0.0
1999-07-30,187293.0,35871.0,-223164.0,0.0
1999-08-02,-279644.0,425467.0,-145823.0,0.0
1999-08-03,-86122.0,213342.0,-127220.0,0.0
1999-08-04,36069.0,137888.0,-173957.0,0.0
1999-08-05,96928.0,-66438.0,-30490.0,0.0
1999-08-06,58431.0,150406.0,-208837.0,0.0
1999-08-09,76883.0,3424.0,-80307.0,0.0
1999-08-10,21605.0,-30274.0,8669.0,0.0
1999-08-11,-118121.0,205561.0,-87440.0,0.0
1999-08-12,44746.0,116465.0,-161211.0,0.0
1999-08-13,-162729.0,326054.0,-163326.0,0.0
1999-08-16,-74724.0,168376.0,-93652.0,0.0
1999-08-17,8662.0,65935.0,-74597.0,0.0
1999-08-18,189875.0,-125079.0,-64796.0,0.0
1999-08-19,-101669.0,70695.0,30974.0,0.0
1999-08-20,-29679.0,5234.0,24445.0,0.0
1999-08-23,442627.0,-70014.0,-372613.0,0.0
1999-08-24,-62727.0,-62309.0,125036.0,0.0
1999-08-25,244868.0,-377244.0,132375.0,0.0
1999-08-26,79864.0,-106852.0,26989.0,0.0
1999-08-27,-25711.0,57945.0,-32234.0,0.0
1999-08-30,-208589.0,225511.0,-16923.0,0.0
1999-08-31,-267606.0,297937.0,-30330.0,0.0
1999-09-01,-151369.0,302479.0,-151110.0,0.0
1999-09-02,88330.0,33186.0,-121516.0,0.0
1999-09-03,-183504.0,260733.0,-77229.0,0.0
1999-09-06,-43065.0,73650.0,-30585.0,0.0
1999-09-07,147154.0,-88743.0,-58411.0,0.0
1999-09-08,-47855.0,152727.0,-104872.0,0.0
1999-09-09,-49656.0,100395.0,-50739.0,0.0
1999-09-10,327401.0,-252051.0,-75349.0,0.0
1999-09-13,350005.0,-313806.0,-36199.0,0.0
1999-09-14,-58849.0,47344.0,11505.0,0.0
1999-09-15,-95778.0,175247.0,-79469.0,0.0
1999-09-16,98443.0,1947.0,-100390.0,0.0
1999-09-17,51606.0,70234.0,-121841.0,0.0
1999-09-20,26973.0,-28805.0,1832.0,0.0
1999-09-21,123406.0,-141029.0,17623.0,0.0
1999-09-22,-200016.0,285663.0,-85647.0,0.0
1999-09-27,-34420.0,264742.0,-230322.0,0.0
1999-09-28,-60750.0,136310.0,-75560.0,0.0
1999-09-29,-175133.0,229612.0,-54480.0,0.0
1999-09-30,-86625.0,176269.0,-89644.0,0.0
1999-10-01,118973.0,-75999.0,-42975.0,0.0
1999-10-04,-105757.0,96866.0,8891.0,0.0
1999-10-05,-140230.0,30798.0,109432.0,0.0
1999-10-06,-94542.0,-7165.0,101707.0,0.0
1999-10-07,-138269.0,65753.0,72516.0,0.0
1999-10-08,-212911.0,176589.0,36322.0,0.0
1999-10-11,-44009.0,-101251.0,145260.0,0.0
1999-10-12,105949.0,-175075.0,69126.0,0.0
1999-10-13,-7769.0,-25962.0,33730.0,0.0
1999-10-14,80396.0,-71582.0,-8814.0,0.0
1999-10-15,113691.0,-121929.0,8238.0,0.0
1999-10-18,65268.0,-69921.0,4653.0,0.0
1999-10-19,-138034.0,153773.0,-15740.0,0.0
1999-10-20,-108028.0,103839.0,4189.0,0.0
1999-10-21,-322107.0,220694.0,101412.0,0.0
1999-10-22,26668.0,-28630.0,1962.0,0.0
1999-10-25,-43921.0,-26129.0,70051.0,0.0
1999-10-26,95856.0,-96313.0,457.0,0.0
1999-10-27,32799.0,-32819.0,21.0,0.0
1999-10-28,121449.0,-136147.0,14698.0,0.0
1999-10-29,292758.0,-477617.0,184859.0,0.0
1999-11-01,102264.0,-240616.0,138352.0,0.0
1999-11-02,25979.0,-240915.0,214936.0,0.0
1999-11-03,-37745.0,-191439.0,229184.0,0.0
1999-11-04,-17737.0,-237735.0,255472.0,0.0
1999-11-05,-23383.0,-170784.0,194167.0,0.0
1999-11-08,-54121.0,-41712.0,95833.0,0.0
1999-11-09,266741.0,-325654.0,58913.0,0.0
1999-11-10,-42300.0,25470.0,16830.0,0.0
1999-11-11,-188884.0,13910.0,174975.0,0.0
1999-11-12,-24739.0,-203734.0,228473.0,0.0
1999-11-15,-279273.0,239831.0,39442.0,0.0
1999-11-16,-126786.0,35249.0,91537.0,0.0
1999-11-17,-171092.0,236764.0,-65672.0,0.0
1999-11-18,-123862.0,115753.0,8110.0,0.0
1999-11-19,90148.0,-221460.0,131312.0,0.0
1999-11-22,-199438.0,159016.0,40422.0,0.0
1999-11-23,624.0,-117177.0,116553.0,0.0
1999-11-24,27497.0,-89651.0,62154.0,0.0
1999-11-25,-56844.0,-29758.0,86602.0,0.0
1999-11-26,-80166.0,-57289.0,137454.0,0.0
1999-11-29,-118496.0,56278.0,62218.0,0.0
1999-11-30,346.0,-30342.0,29997.0,0.0
1999-12-01,-94118.0,52462.0,41655.0,0.0
1999-12-02,-6633.0,-5550.0,12182.0,0.0
1999-12-03,-59315.0,-62789.0,122104.0,0.0
1999-12-06,127011.0,-242121.0,115110.0,0.0
1999-12-07,26238.0,-98701.0,72463.0,0.0
1999-12-08,-28362.0,106194.0,-77831.0,0.0
1999-12-09,-548718.0,522882.0,25835.0,0.0
1999-12-10,-24494.0,-49802.0,74296.0,0.0
1999-12-13,-141067.0,40973.0,100095.0,0.0
1999-12-14,-49565.0,58077.0,-8513.0,0.0
1999-12-15,-17788.0,40563.0,-22776.0,0.0
1999-12-16,114475.0,-74842.0,-39633.0,0.0
1999-12-17,-261476.0,132386.0,129090.0,0.0
1999-12-20,-189920.0,142806.0,47115.0,0.0
1999-12-21,-196618.0,13394.0,183225.0,0.0
1999-12-22,13034.0,-78969.0,65935.0,0.0
1999-12-23,-161584.0,55726.0,105858.0,0.0
1999-12-24,-108082.0,92013.0,16069.0,0.0
1999-12-27,-562134.0,576097.0,-13963.0,0.0
1999-12-28,-139052.0,173295.0,-34243.0,0.0
2000-01-04,-136677.0,59784.0,76893.0,0.0
2000-01-05,23110.0,89720.0,-112830.0,0.0
2000-01-06,-296470.0,343788.0,-47318.0,0.0
2000-01-07,71237.0,37920.0,-109157.0,0.0
2000-01-10,11386.0,-142388.0,131002.0,0.0
2000-01-11,156994.0,-348099.0,191105.0,0.0
2000-01-12,3922.0,-166942.0,163020.0,0.0
2000-01-13,-134041.0,178056.0,-44015.0,0.0
2000-01-14,-9046.0,-167341.0,176388.0,0.0
2000-01-17,256157.0,-462335.0,206178.0,0.0
2000-01-18,-4860.0,-103218.0,108078.0,0.0
2000-01-19,-146871.0,121983.0,24888.0,0.0
2000-01-20,142049.0,-107861.0,-34188.0,0.0
2000-01-21,-85039.0,-342.0,85381.0,0.0
2000-01-24,40590.0,-77941.0,37350.0,0.0
2000-01-25,-58525.0,-30620.0,89144.0,0.0
2000-01-26,119134.0,-127209.0,8075.0,0.0
2000-01-27,83313.0,-148903.0,65590.0,0.0
2000-01-28,146920.0,-353903.0,206983.0,0.0
2000-01-31,129181.0,-98311.0,-30871.0,0.0
2000-02-01,-158477.0,272058.0,-113580.0,0.0
2000-02-02,141454.0,-102034.0,-39420.0,0.0
2000-02-03,70972.0,-54895.0,-16077.0,0.0
2000-02-07,9765.0,-94594.0,84828.0,0.0
2000-02-08,96964.0,-315470.0,218506.0,0.0
2000-02-09,82809.0,-226840.0,144031.0,0.0
2000-02-10,-385485.0,152676.0,232809.0,0.0
2000-02-11,-334559.0,192117.0,142442.0,0.0
2000-02-14,-89074.0,124601.0,-35527.0,0.0
2000-02-15,-53807.0,238556.0,-184749.0,0.0
2000-02-16,-150111.0,250112.0,-100001.0,0.0
2000-02-17,47545.0,-100088.0,52543.0,0.0
2000-02-18,-333191.0,-67971.0,401161.0,0.0
2000-02-21,-14508.0,-19573.0,34081.0,0.0
2000-02-22,75380.0,38766.0,-114146.0,0.0
2000-02-23,-55837.0,138396.0,-82559.0,0.0
2000-02-24,105074.0,-197280.0,92206.0,0.0
2000-02-25,75095.0,-136755.0,61660.0,0.0
2000-02-28,-21759.0,-64881.0,86641.0,0.0
2000-02-29,-336173.0,85577.0,250596.0,0.0
2000-03-02,-159931.0,-466023.0,625954.0,0.0
2000-03-03,-261398.0,-594394.0,855791.0,0.0
2000-03-06,-108408.0,-150398.0,258806.0,0.0
2000-03-07,15533.0,-226859.0,211327.0,0.0
2000-03-08,117576.0,-258859.0,141282.0,0.0
2000-03-09,-262095.0,561789.0,-299694.0,0.0
2000-03-10,-156220.0,73796.0,82423.0,0.0
2000-03-13,-324958.0,357341.0,-32383.0,0.0
2000-03-14,-70211.0,-2079.0,72290.0,0.0
2000-03-15,-80878.0,-14564.0,95442.0,0.0
2000-03-16,-53314.0,-70220.0,123534.0,0.0
2000-03-17,-16716.0,-158945.0,175661.0,0.0
2000-03-20,59604.0,-192844.0,133240.0,0.0
2000-03-21,245685.0,-351395.0,105711.0,0.0
2000-03-22,128511.0,-381398.0,252887.0,0.0
2000-03-23,-18182.0,-166680.0,184863.0,0.0
2000-03-24,65172.0,-271305.0,206132.0,0.0
2000-03-27,-152739.0,56968.0,95772.0,0.0
2000-03-28,-14924.0,-74537.0,89461.0,0.0
2000-03-29,-309506.0,5074.0,304432.0,0.0
2000-03-30,50913.0,-73106.0,22193.0,0.0
2000-03-31,14842.0,-256.0,-14586.0,0.0
2000-04-03,-100484.0,-27813.0,128297.0,0.0
2000-04-04,114767.0,-39865.0,-74902.0,0.0
2000-04-06,-62884.0,68466.0,-5582.0,0.0
2000-04-07,-120862.0,-43913.0,164775.0,0.0
2000-04-10,-344310.0,162004.0,182306.0,0.0
2000-04-11,113749.0,-124160.0,10411.0,0.0
2000-04-12,82240.0,30838.0,-113079.0,0.0
2000-04-14,-66269.0,241666.0,-175397.0,0.0
2000-04-17,279526.0,-123802.0,-155723.0,0.0
2000-04-18,-379480.0,372828.0,6652.0,0.0
2000-04-19,-262827.0,191934.0,70893.0,0.0
2000-04-20,17314.0,-18809.0,1495.0,0.0
2000-04-21,69563.0,-10070.0,-59494.0,0.0
2000-04-24,-90738.0,89854.0,884.0,0.0
2000-04-25,27316.0,22830.0,-50146.0,0.0
2000-04-26,-332828.0,291725.0,41103.0,0.0
2000-04-27,30583.0,197362.0,-227945.0,0.0
2000-04-28,-145848.0,-129429.0,275277.0,0.0
2000-05-02,-233800.0,11950.0,221851.0,0.0
2000-05-03,38482.0,-26994.0,-11488.0,0.0
2000-05-04,17730.0,-7228.0,-10501.0,0.0
2000-05-08,-9656.0,-182231.0,191887.0,0.0
2000-05-09,-2494.0,17669.0,-15175.0,0.0
2000-05-10,54749.0,44337.0,-99086.0,0.0
2000-05-12,-1002.0,76668.0,-75665.0,0.0
2000-05-15,-51564.0,-38667.0,90231.0,0.0
2000-05-16,-24618.0,-36109.0,60727.0,0.0
2000-05-17,-162861.0,-112498.0,275359.0,0.0
2000-05-18,71559.0,-62449.0,-9110.0,0.0
2000-05-19,-49592.0,-21785.0,71378.0,0.0
2000-05-22,21507.0,11818.0,-33325.0,0.0
2000-05-23,38568.0,38472.0,-77040.0,0.0
2000-05-24,-178311.0,192145.0,-13834.0,0.0
2000-05-25,-274823.0,271400.0,3424.0,0.0
2000-05-26,-93652.0,456.0,93196.0,0.0
2000-05-29,-99900.0,85531.0,14368.0,0.0
2000-05-30,-82217.0,89376.0,-7158.0,0.0
2000-05-31,-111827.0,-102030.0,213857.0,0.0
2000-06-01,99472.0,-237943.0,138472.0,0.0
2000-06-02,-86035.0,-296788.0,382823.0,0.0
2000-06-05,-226197.0,-5326.0,231522.0,0.0
2000-06-07,-407952.0,38023.0,369928.0,0.0
2000-06-08,-683079.0,195096.0,487983.0,0.0
2000-06-09,-64546.0,-212380.0,276926.0,0.0
2000-06-12,-368746.0,210787.0,157960.0,0.0
2000-06-13,42882.0,-73834.0,30952.0,0.0
2000-06-14,-58230.0,66026.0,-7796.0,0.0
2000-06-15,-64357.0,6277.0,58080.0,0.0
2000-06-16,208668.0,-23816.0,-184853.0,0.0
2000-06-19,-5135.0,-126537.0,131672.0,0.0
2000-06-20,-8175.0,-105351.0,113527.0,0.0
2000-06-21,136868.0,-176668.0,39800.0,0.0
2000-06-22,31309.0,-76198.0,44889.0,0.0
2000-06-23,544.0,22369.0,-22913.0,0.0
2000-06-26,23448.0,25061.0,-48508.0,0.0
2000-06-27,126927.0,-123323.0,-3605.0,0.0
2000-06-28,-1228.0,-183716.0,184944.0,0.0
2000-06-29,-92261.0,-114276.0,206537.0,0.0
2000-06-30,7084.0,44810.0,-51894.0,0.0
2000-07-03,-3474.0,-71604.0,75078.0,0.0
2000-07-04,-141982.0,5219.0,136763.0,0.0
2000-07-05,-28808.0,-81625.0,110434.0,0.0
2000-07-06,194761.0,-186921.0,-7839.0,0.0
2000-07-07,-94300.0,-213861.0,308160.0,0.0
2000-07-10,-113918.0,-127741.0,241659.0,0.0
2000-07-11,-235474.0,60556.0,174918.0,0.0
2000-07-12,-112858.0,-5550.0,118407.0,0.0
2000-07-13,-141536.0,-38928.0,180464.0,0.0
2000-07-14,-53065.0,25016.0,28049.0,0.0
2000-07-18,-42207.0,-65575.0,107782.0,0.0
2000-07-19,-35029.0,66770.0,-31741.0,0.0
2000-07-20,26439.0,62410.0,-88848.0,0.0
2000-07-21,-168702.0,125538.0,43164.0,0.0
2000-07-24,40029.0,-10354.0,-29675.0,0.0
2000-07-25,35276.0,87011.0,-122287.0,0.0
2000-07-26,-203721.0,121315.0,82406.0,0.0
2000-07-27,28167.0,64496.0,-92663.0,0.0
2000-07-28,128835.0,147280.0,-276115.0,0.0
2000-07-31,55578.0,-21116.0,-34462.0,0.0
2000-08-01,-174959.0,37513.0,137446.0,0.0
2000-08-02,103644.0,-102812.0,-832.0,0.0
2000-08-03,-81004.0,50264.0,30740.0,0.0
2000-08-04,-50682.0,108696.0,-58014.0,0.0
2000-08-07,-40261.0,38305.0,1957.0,0.0
2000-08-08,-87739.0,27683.0,60056.0,0.0
2000-08-09,53692.0,-172853.0,119160.0,0.0
2000-08-10,-50844.0,-121777.0,172621.0,0.0
2000-08-11,-48630.0,1783.0,46847.0,0.0
2000-08-14,-62957.0,25730.0,37227.0,0.0
2000-08-16,63705.0,-319034.0,255329.0,0.0
2000-08-17,-97761.0,-146745.0,244506.0,0.0
2000-08-18,-138006.0,45807.0,92198.0,0.0
2000-08-21,-36169.0,-32827.0,68996.0,0.0
2000-08-22,197487.0,-302090.0,104603.0,0.0
2000-08-23,-47123.0,18292.0,28832.0,0.0
2000-08-24,2115.0,-37513.0,35399.0,0.0
2000-08-25,53957.0,-107442.0,53485.0,0.0
2000-08-28,86856.0,-109184.0,22328.0,0.0
2000-08-29,26756.0,-74468.0,47712.0,0.0
2000-08-30,-179932.0,52839.0,127093.0,0.0
2000-08-31,-111237.0,408622.0,-297385.0,0.0
2000-09-01,70026.0,14449.0,-84475.0,0.0
2000-09-04,-8005.0,18292.0,-10287.0,0.0
2000-09-05,63884.0,37834.0,-101718.0,0.0
2000-09-06,-50090.0,21355.0,28735.0,0.0
2000-09-07,105433.0,141652.0,-247085.0,0.0
2000-09-08,70291.0,47063.0,-117354.0,0.0
2000-09-14,-38684.0,406120.0,-367436.0,0.0
2000-09-15,-34793.0,132304.0,-97512.0,0.0
2000-09-18,181320.0,-119794.0,-61525.0,0.0
2000-09-19,-56250.0,61730.0,-5480.0,0.0
2000-09-20,-223553.0,-27051.0,250604.0,0.0
2000-09-21,10878.0,-29879.0,19001.0,0.0
2000-09-22,-29408.0,224575.0,-195166.0,0.0
2000-09-25,68154.0,-50298.0,-17856.0,0.0
2000-09-26,108873.0,-15167.0,-93705.0,0.0
2000-09-27,38541.0,-198.0,-38343.0,0.0
2000-09-28,-37426.0,-53488.0,90914.0,0.0
2000-09-29,-61591.0,21614.0,39976.0,0.0
2000-10-02,-45850.0,118031.0,-72181.0,0.0
2000-10-04,59139.0,-16005.0,-43135.0,0.0
2000-10-05,-58429.0,-77478.0,135908.0,0.0
2000-10-06,57623.0,-38945.0,-18679.0,0.0
2000-10-09,-108257.0,200099.0,-91842.0,0.0
2000-10-10,-39321.0,125012.0,-85691.0,0.0
2000-10-11,-88727.0,198154.0,-109426.0,0.0
2000-10-12,-25750.0,123623.0,-97873.0,0.0
2000-10-13,56124.0,41321.0,-97446.0,0.0
2000-10-16,-120212.0,130423.0,-10211.0,0.0
2000-10-17,66186.0,-23430.0,-42757.0,0.0
2000-10-18,-24978.0,65799.0,-40821.0,0.0
2000-10-19,-73629.0,57891.0,15739.0,0.0
2000-10-20,-67629.0,-183708.0,251337.0,0.0
2000-10-23,-4685.0,17416.0,-12731.0,0.0
2000-10-24,26796.0,-84323.0,57527.0,0.0
2000-10-25,-43723.0,10306.0,33416.0,0.0
2000-10-26,46474.0,120949.0,-167423.0,0.0
2000-10-27,92259.0,-77250.0,-15010.0,0.0
2000-10-30,-44297.0,10068.0,34229.0,0.0
2000-10-31,57741.0,-61468.0,3727.0,0.0
2000-11-01,49528.0,-144783.0,95255.0,0.0
2000-11-02,72197.0,-163584.0,91387.0,0.0
2000-11-03,-14724.0,-77032.0,91756.0,0.0
2000-11-06,2949.0,-80509.0,77560.0,0.0
2000-11-07,-87182.0,48582.0,38601.0,0.0
2000-11-08,-59501.0,-45585.0,105086.0,0.0
2000-11-09,-54302.0,46036.0,8266.0,0.0
2000-11-10,79735.0,-83505.0,3769.0,0.0
2000-11-13,-111697.0,107310.0,4387.0,0.0
2000-11-14,-34008.0,48470.0,-14462.0,0.0
2000-11-15,20033.0,-116042.0,96010.0,0.0
2000-11-16,15080.0,-28704.0,13624.0,0.0
2000-11-17,-46326.0,59537.0,-13212.0,0.0
2000-11-20,-49821.0,36922.0,12899.0,0.0
2000-11-21,-47021.0,94718.0,-47697.0,0.0
2000-11-22,23504.0,5206.0,-28710.0,0.0
2000-11-23,94243.0,-79690.0,-14554.0,0.0
2000-11-24,5795.0,-50720.0,44925.0,0.0
2000-11-27,-5013.0,-201775.0,206788.0,0.0
2000-11-28,61776.0,-93110.0,31334.0,0.0
2000-11-29,-61488.0,126058.0,-64570.0,0.0
2000-11-30,-34649.0,147947.0,-113297.0,0.0
2000-12-01,248015.0,39176.0,-287191.0,0.0
2000-12-04,-653.0,34843.0,-34190.0,0.0
2000-12-05,79907.0,-23912.0,-55996.0,0.0
2000-12-06,98077.0,-266231.0,168154.0,0.0
2000-12-07,58368.0,-62802.0,4434.0,0.0
2000-12-08,73504.0,-77929.0,4425.0,0.0
2000-12-11,61381.0,-197664.0,136283.0,0.0
2000-12-12,-89728.0,-130860.0,220588.0,0.0
2000-12-13,-5305.0,-147326.0,152630.0,0.0
2000-12-14,-304140.0,234550.0,69591.0,0.0
2000-12-15,-92478.0,142716.0,-50238.0,0.0
2000-12-18,12442.0,-67348.0,54906.0,0.0
2000-12-19,-24982.0,-36171.0,61153.0,0.0
2000-12-20,28474.0,23820.0,-52294.0,0.0
2000-12-21,-94590.0,46894.0,47696.0,0.0
2000-12-22,38201.0,-15353.0,-22848.0,0.0
2000-12-26,231.0,-38445.0,38214.0,0.0
2001-01-02,-145771.0,34432.0,111339.0,0.0
2001-01-03,-45989.0,-35914.0,81904.0,0.0
2001-01-04,43095.0,-438300.0,395205.0,0.0
2001-01-05,-30657.0,-416748.0,447405.0,0.0
2001-01-08,12752.0,-158296.0,145544.0,0.0
2001-01-09,40793.0,-75496.0,34703.0,0.0
2001-01-10,-164698.0,-20664.0,185361.0,0.0
2001-01-11,-233017.0,242314.0,-9297.0,0.0
2001-01-12,60619.0,-327434.0,266815.0,0.0
2001-01-15,-120105.0,-72175.0,192280.0,0.0
2001-01-16,-88923.0,-80154.0,169077.0,0.0
2001-01-17,-57304.0,24449.0,32855.0,0.0
2001-01-18,-6726.0,-176406.0,183131.0,0.0
2001-01-19,-80113.0,-147179.0,227292.0,0.0
2001-01-22,-122140.0,63981.0,58160.0,0.0
2001-01-26,-109298.0,193264.0,-83965.0,0.0
2001-01-29,-131520.0,74110.0,57411.0,0.0
2001-01-30,-61172.0,-15844.0,77016.0,0.0
