"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"201905312300","100","도심권","111123","종로구","18","20","13","0.038","0.026","0.4","0.003"
"201905312300","100","도심권","111131","용산구","15","16","8","0.045","0.024","0.3","0.003"
"201905312300","100","도심권","111121","중구","15","17","12","0.044","0.027","0.4","0.003"
"201905312300","101","서북권","111181","은평구","26","24","0","0.047","0.023","0.3","0.004"
"201905312300","101","서북권","111191","서대문구","25","25","14","0.041","0.02","0.6","0.004"
"201905312300","101","서북권","111201","마포구","22","26","17","0.046","0.015","0.3","0.004"
"201905312300","102","동북권","111141","광진구","0","26","18","0.041","0.017","0.4","0.005"
"201905312300","102","동북권","111311","노원구","16","21","10","0.047","0.013","0.3","0.004"
"201905312300","102","동북권","111151","중랑구","15","17","15","0.041","0.021","0.3","0.005"
"201905312300","102","동북권","111171","도봉구","16","21","8","0.056","0.007","0.2","0.004"
"201905312300","102","동북권","111161","성북구","33","30","0","0.035","0.031","0.6","0.003"
"201905312300","102","동북권","111142","성동구","18","23","14","0.052","0.019","0.3","0.003"
"201905312300","102","동북권","111291","강북구","18","23","10","0.048","0.01","0.3","0.003"
"201905312300","102","동북권","111152","동대문구","15","16","10","0.043","0.023","0.3","0.005"
"201905312300","103","서남권","111241","동작구","20","20","12","0.04","0.02","0.3","0.003"
"201905312300","103","서남권","111231","영등포구","22","29","14","0.039","0.016","0.2","0.002"
"201905312300","103","서남권","111212","강서구","26","23","17","0.043","0.022","0.4","0.007"
"201905312300","103","서남권","111251","관악구","32","33","21","0.045","0.021","0.3","0.004"
"201905312300","103","서남권","111301","양천구","21","23","12","0.036","0.022","0.4","0.004"
"201905312300","103","서남권","111221","구로구","21","22","15","0.042","0.017","0.2","0.004"
"201905312300","103","서남권","111281","금천구","20","19","14","0.032","0.026","0.3","0.004"
"201905312300","104","동남권","111261","강남구","14","16","9","0.042","0.015","0.2","0.005"
"201905312300","104","동남권","111262","서초구","21","26","18","0.049","0.016","0.2","0.003"
"201905312300","104","동남권","111274","강동구","20","21","8","0.037","0.02","0.3","0.004"
"201905312300","104","동남권","111273","송파구","17","22","17","0.048","0.019","0.3","0.003"
"201905312200","100","도심권","111131","용산구","16","17","9","0.05","0.022","0.3","0.003"
"201905312200","100","도심권","111121","중구","16","17","10","0.049","0.025","0.3","0.003"
"201905312200","100","도심권","111123","종로구","16","20","10","0.044","0.022","0.4","0.004"
"201905312200","101","서북권","111191","서대문구","26","25","15","0.051","0.016","0.6","0.002"
"201905312200","101","서북권","111201","마포구","25","27","18","0.047","0.018","0.3","0.004"
"201905312200","101","서북권","111181","은평구","21","23","15","0.057","0.018","0.3","0.004"
"201905312200","102","동북권","111161","성북구","22","31","8","0.047","0.021","0.6","0.003"
"201905312200","102","동북권","111291","강북구","20","24","11","0.055","0.006","0.3","0.003"
"201905312200","102","동북권","111171","도봉구","16","23","8","0.062","0.006","0.3","0.005"
"201905312200","102","동북권","111141","광진구","0","26","19","0.045","0.016","0.5","0.005"
"201905312200","102","동북권","111311","노원구","19","22","12","0.051","0.011","0.3","0.004"
"201905312200","102","동북권","111142","성동구","23","24","11","0.055","0.02","0.3","0.003"
"201905312200","102","동북권","111151","중랑구","15","17","12","0.049","0.016","0.3","0.004"
"201905312200","102","동북권","111152","동대문구","18","17","11","0.049","0.021","0.3","0.003"
"201905312200","103","서남권","111212","강서구","23","23","16","0.05","0.019","0.4","0.007"
"201905312200","103","서남권","111241","동작구","20","20","10","0.043","0.019","0.3","0.003"
"201905312200","103","서남권","111231","영등포구","23","30","20","0.042","0.016","0.4","0.003"
"201905312200","103","서남권","111221","구로구","22","24","15","0.052","0.012","0.2","0.004"
"201905312200","103","서남권","111281","금천구","21","19","14","0.04","0.022","0.3","0.003"
"201905312200","103","서남권","111301","양천구","21","23","11","0.039","0.023","0.4","0.004"
"201905312200","103","서남권","111251","관악구","36","32","21","0.05","0.019","0.3","0.004"
"201905312200","104","동남권","111261","강남구","15","17","10","0.045","0.015","0.2","0.005"
"201905312200","104","동남권","111274","강동구","19","21","12","0.039","0.02","0.3","0.003"
"201905312200","104","동남권","111262","서초구","21","28","18","0.052","0.017","0.2","0.003"
"201905312200","104","동남권","111273","송파구","22","24","17","0.051","0.02","0.3","0.003"
"201905312100","100","도심권","111123","종로구","19","21","10","0.049","0.019","0.4","0.004"
"201905312100","100","도심권","111131","용산구","11","18","9","0.054","0.019","0.3","0.003"
"201905312100","100","도심권","111121","중구","16","17","13","0.053","0.025","0.3","0.003"
"201905312100","101","서북권","111181","은평구","22","24","16","0.062","0.016","0.2","0.004"
"201905312100","101","서북권","111191","서대문구","24","26","14","0.056","0.013","0.6","0.002"
"201905312100","101","서북권","111201","마포구","29","29","18","0.05","0.017","0.3","0.004"
"201905312100","102","동북권","111151","중랑구","16","18","13","0.053","0.015","0.3","0.005"
"201905312100","102","동북권","111152","동대문구","15","16","8","0.054","0.018","0.3","0.003"
"201905312100","102","동북권","111142","성동구","20","25","10","0.057","0.02","0.3","0.003"
"201905312100","102","동북권","111311","노원구","22","23","15","0.049","0.014","0.3","0.004"
"201905312100","102","동북권","111171","도봉구","16","25","7","0.061","0.007","0.3","0.005"
"201905312100","102","동북권","111161","성북구","22","33","8","0.049","0.02","0.6","0.003"
"201905312100","102","동북권","111141","광진구","22","26","18","0.044","0.017","0.5","0.005"
"201905312100","102","동북권","111291","강북구","24","24","10","0.054","0.007","0.3","0.003"
"201905312100","103","서남권","111281","금천구","19","19","14","0.043","0.022","0.3","0.003"
"201905312100","103","서남권","111231","영등포구","35","33","27","0.047","0.014","0.3","0.003"
"201905312100","103","서남권","111212","강서구","25","23","13","0.05","0.024","0.5","0.007"
"201905312100","103","서남권","111251","관악구","38","29","0","0.054","0.02","0.3","0.004"
"201905312100","103","서남권","111221","구로구","22","24","15","0.056","0.013","0.2","0.004"
"201905312100","103","서남권","111241","동작구","19","21","11","0.047","0.017","0.3","0.003"
"201905312100","103","서남권","111301","양천구","24","24","13","0.044","0.021","0.4","0.003"
"201905312100","104","동남권","111261","강남구","14","17","10","0.047","0.014","0.3","0.004"
"201905312100","104","동남권","111262","서초구","17","30","13","0.059","0.012","0.2","0.003"
"201905312100","104","동남권","111273","송파구","27","23","9","0.052","0.021","0.3","0.003"
"201905312100","104","동남권","111274","강동구","20","22","13","0.041","0.018","0.3","0.004"
"201905312000","100","도심권","111121","중구","20","17","12","0.051","0.028","0.4","0.003"
"201905312000","100","도심권","111131","용산구","15","18","11","0.054","0.022","0.3","0.003"
"201905312000","100","도심권","111123","종로구","24","21","14","0.048","0.02","0.4","0.004"
"201905312000","101","서북권","111201","마포구","28","28","14","0.054","0.016","0.3","0.004"
"201905312000","101","서북권","111181","은평구","21","25","18","0.064","0.016","0.2","0.004"
"201905312000","101","서북권","111191","서대문구","22","25","12","0.057","0.014","0.5","0.003"
"201905312000","102","동북권","111142","성동구","18","27","10","0.055","0.023","0.3","0.003"
"201905312000","102","동북권","111152","동대문구","15","17","9","0.055","0.017","0.3","0.004"
"201905312000","102","동북권","111161","성북구","21","35","10","0.048","0.022","0.5","0.003"
"201905312000","102","동북권","111291","강북구","25","25","12","0.054","0.008","0.3","0.003"
"201905312000","102","동북권","111141","광진구","26","28","12","0.047","0.018","0.4","0.005"
"201905312000","102","동북권","111171","도봉구","21","26","11","0.06","0.008","0.3","0.005"
"201905312000","102","동북권","111311","노원구","27","22","16","0.05","0.014","0.3","0.005"
"201905312000","102","동북권","111151","중랑구","18","18","12","0.052","0.016","0.3","0.005"
"201905312000","103","서남권","111251","관악구","42","27","0","0.059","0.015","0.2","0.004"
"201905312000","103","서남권","111281","금천구","19","19","12","0.047","0.017","0.3","0.003"
"201905312000","103","서남권","111231","영등포구","34","32","27","0.047","0.015","0.3","0.002"
"201905312000","103","서남권","111221","구로구","24","24","12","0.057","0.014","0.2","0.004"
"201905312000","103","서남권","111241","동작구","21","21","12","0.05","0.015","0.3","0.003"
"201905312000","103","서남권","111212","강서구","22","22","13","0.059","0.018","0.4","0.005"
"201905312000","103","서남권","111301","양천구","23","24","12","0.046","0.02","0.4","0.004"
"201905312000","104","동남권","111274","강동구","22","22","15","0.041","0.019","0.3","0.004"
"201905312000","104","동남권","111261","강남구","19","18","11","0.048","0.015","0.2","0.005"
"201905312000","104","동남권","111262","서초구","39","31","16","0.061","0.012","0.2","0.003"
"201905312000","104","동남권","111273","송파구","22","22","14","0.054","0.022","0.3","0.003"
"201905311900","100","도심권","111121","중구","19","16","13","0.056","0.024","0.4","0.003"
"201905311900","100","도심권","111131","용산구","19","19","12","0.055","0.022","0.3","0.003"
"201905311900","100","도심권","111123","종로구","25","20","13","0.051","0.019","0.4","0.004"
"201905311900","101","서북권","111201","마포구","27","27","19","0.054","0.017","0.3","0.004"
"201905311900","101","서북권","111191","서대문구","23","26","9","0.059","0.013","0.5","0.003"
"201905311900","101","서북권","111181","은평구","21","25","14","0.065","0.014","0.2","0.004"
"201905311900","102","동북권","111161","성북구","32","38","14","0.054","0.017","0.5","0.003"
"201905311900","102","동북권","111142","성동구","0","30","9","0.056","0.026","0.3","0.003"
"201905311900","102","동북권","111171","도봉구","27","27","14","0.06","0.009","0.3","0.005"
"201905311900","102","동북권","111311","노원구","24","20","14","0.051","0.013","0.3","0.004"
"201905311900","102","동북권","111151","중랑구","20","17","14","0.055","0.015","0.3","0.006"
"201905311900","102","동북권","111152","동대문구","19","15","12","0.056","0.018","0.4","0.004"
"201905311900","102","동북권","111291","강북구","26","25","14","0.054","0.008","0.3","0.003"
