"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"201903312300","100","도심권","111123","종로구","21","29","14","0.033","0.021","0.4","0.002"
"201903312300","100","도심권","111131","용산구","16","26","12","0.028","0.024","0.4","0.002"
"201903312300","100","도심권","111121","중구","23","30","14","0.039","0.021","0.4","0.003"
"201903312300","101","서북권","111181","은평구","28","34","15","0.036","0.019","0.7","0.004"
"201903312300","101","서북권","111191","서대문구","25","33","18","0.027","0.024","1","0.004"
"201903312300","101","서북권","111201","마포구","31","35","15","0.024","0.023","0.4","0.004"
"201903312300","102","동북권","111141","광진구","23","30","13","0.033","0.017","0.5","0.004"
"201903312300","102","동북권","111311","노원구","28","34","19","0.036","0.012","0.4","0.004"
"201903312300","102","동북권","111151","중랑구","21","27","15","0.043","0.016","0.2","0.005"
"201903312300","102","동북권","111171","도봉구","16","27","11","0.044","0.007","0.3","0.004"
"201903312300","102","동북권","111161","성북구","19","32","11","0.036","0.015","0.6","0.003"
"201903312300","102","동북권","111142","성동구","35","38","17","0.032","0.024","0.4","0.002"
"201903312300","102","동북권","111291","강북구","30","35","17","0.045","0.008","0.4","0.003"
"201903312300","102","동북권","111152","동대문구","20","26","11","0.038","0.019","0.4","0.003"
"201903312300","103","서남권","111241","동작구","24","34","17","0.037","0.021","0.3","0.002"
"201903312300","103","서남권","111231","영등포구","24","36","17","0.025","0.024","0.2","0.004"
"201903312300","103","서남권","111212","강서구","22","33","10","0.034","0.023","0.5","0.007"
"201903312300","103","서남권","111251","관악구","24","33","0","0.042","0.021","0.3","0.005"
"201903312300","103","서남권","111301","양천구","24","34","15","0.03","0.027","0.4","0.004"
"201903312300","103","서남권","111221","구로구","21","29","10","0.037","0.014","0.2","0.005"
"201903312300","103","서남권","111281","금천구","26","34","18","0.032","0.025","0.4","0.004"
"201903312300","104","동남권","111261","강남구","19","28","15","0.026","0.019","0.3","0.006"
"201903312300","104","동남권","111262","서초구","22","33","12","0.033","0.021","0.2","0.004"
"201903312300","104","동남권","111274","강동구","25","34","16","0.037","0.018","0.4","0.004"
"201903312300","104","동남권","111273","송파구","26","33","12","0.025","0.029","0.4","0.002"
"201903312200","100","도심권","111131","용산구","14","28","9","0.034","0.018","0.3","0.003"
"201903312200","100","도심권","111121","중구","19","31","10","0.044","0.016","0.4","0.002"
