"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"201904302300","100","도심권","111123","종로구","27","34","14","0.019","0.046","0.5","0.003"
"201904302300","100","도심권","111121","중구","25","30","14","0.022","0.047","0.5","0.003"
"201904302300","100","도심권","111131","용산구","20","28","12","0.018","0.049","0.5","0.003"
"201904302300","101","서북권","111181","은평구","32","44","15","0.032","0.028","0.4","0.004"
"201904302300","101","서북권","111201","마포구","33","42","21","0.015","0.036","0.4","0.004"
"201904302300","101","서북권","111191","서대문구","27","42","15","0.021","0.036","0.8","0.003"
"201904302300","102","동북권","111141","광진구","25","37","17","0.024","0.035","0.7","0.003"
"201904302300","102","동북권","111142","성동구","27","37","16","0.024","0.043","0.5","0.003"
"201904302300","102","동북권","111291","강북구","43","40","20","0.027","0.025","0.5","0.002"
"201904302300","102","동북권","111311","노원구","42","38","26","0.005","0.057","0.7","0.004"
"201904302300","102","동북권","111151","중랑구","26","32","20","0.025","0.031","0.4","0.006"
"201904302300","102","동북권","111152","동대문구","23","31","15","0.022","0.046","0.5","0.004"
"201904302300","102","동북권","111171","도봉구","33","40","19","0.045","0.012","0.4","0.004"
"201904302300","102","동북권","111161","성북구","33","44","13","0.027","0.035","0.5","0.003"
"201904302300","103","서남권","111251","관악구","27","39","15","0.023","0.041","0.4","0.003"
"201904302300","103","서남권","111281","금천구","29","35","15","0.016","0.047","0.5","0.003"
"201904302300","103","서남권","111231","영등포구","34","44","28","0.014","0.041","0.5","0.003"
"201904302300","103","서남권","111221","구로구","24","34","17","0.015","0.039","0.3","0.004"
"201904302300","103","서남권","111212","강서구","20","33","10","0.032","0.032","0.5","0.008"
"201904302300","103","서남권","111301","양천구","28","32","14","0.025","0.037","0.5","0.004"
"201904302300","103","서남권","111241","동작구","32","35","18","0.024","0.043","0.4","0.003"
"201904302300","104","동남권","111273","송파구","34","38","21","0.016","0.046","0.5","0.003"
"201904302300","104","동남권","111261","강남구","28","31","17","0.015","0.041","0.5","0.006"
"201904302300","104","동남권","111274","강동구","31","35","18","0.024","0.038","0.5","0.003"
"201904302300","104","동남권","111262","서초구","37","42","21","0.014","0.046","0.3","0.004"
"201904302200","100","도심권","111123","종로구","30","35","16","0.029","0.036","0.5","0.004"
"201904302200","100","도심권","111121","중구","27","31","14","0.03","0.041","0.5","0.003"
"201904302200","100","도심권","111131","용산구","24","29","16","0.025","0.042","0.5","0.003"
"201904302200","101","서북권","111201","마포구","42","45","0","0.022","0.033","0.4","0.004"
