"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"202004302300","100","도심권","111123","종로구","40","43","21","0.036","0.008","0.3","0.003"
"202004302300","100","도심권","111121","중구","31","41","22","0.037","0.01","0.3","0.003"
"202004302300","100","도심권","111131","용산구","41","40","21","0.035","0.011","0.3","0.002"
"202004302300","101","서북권","111181","은평구","32","37","20","0.053","0.005","0.3","0.003"
"202004302300","101","서북권","111201","마포구","34","34","21","0.043","0.009","0.3","0.002"
"202004302300","101","서북권","111191","서대문구","36","37","23","0.051","0.005","0.5","0.002"
"202004302300","102","동북권","111141","광진구","34","37","17","0.05","0.009","0.6","0.004"
"202004302300","102","동북권","111142","성동구","34","35","18","0.028","0.01","0.3","0.003"
"202004302300","102","동북권","111291","강북구","39","43","20","0.031","0.008","0.3","0.002"
"202004302300","102","동북권","111311","노원구","35","35","0","0.037","0.009","0.3","0.002"
"202004302300","102","동북권","111151","중랑구","40","39","24","0.035","0.014","0.3","0.002"
"202004302300","102","동북권","111152","동대문구","37","35","20","0.047","0.007","0.3","0.002"
"202004302300","102","동북권","111171","도봉구","35","36","21","0.048","0.01","0.3","0.003"
"202004302300","102","동북권","111161","성북구","31","34","17","0.045","0.015","0.2","0.002"
"202004302300","103","서남권","111251","관악구","36","39","20","0.045","0.009","0.4","0.002"
"202004302300","103","서남권","111281","금천구","44","36","22","0.036","0.008","0.3","0.002"
"202004302300","103","서남권","111231","영등포구","32","35","20","0.045","0.009","0.3","0.002"
"202004302300","103","서남권","111221","구로구","37","37","26","0.054","0.007","0.2","0.002"
"202004302300","103","서남권","111212","강서구","41","40","20","0.032","0.008","0.3","0.003"
"202004302300","103","서남권","111301","양천구","37","38","21","0.034","0.008","0.3","0.004"
"202004302300","103","서남권","111241","동작구","42","41","25","0.029","0.007","0.3","0.002"
"202004302300","104","동남권","111273","송파구","40","37","24","0.039","0.011","0.5","0.003"
"202004302300","104","동남권","111261","강남구","32","34","23","0.046","0.008","0.4","0.002"
