"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"201906302300","100","도심권","111123","종로구","34","34","28","0.04","0.012","0.4","0.003"
"201906302300","100","도심권","111121","중구","36","34","29","0.049","0.016","0.6","0.002"
"201906302300","100","도심권","111131","용산구","33","31","29","0.052","0.013","0.4","0.002"
"201906302300","101","서북권","111181","은평구","44","36","32","0.046","0.013","0.3","0.004"
"201906302300","101","서북권","111201","마포구","38","34","37","0.049","0.007","0.4","0.003"
"201906302300","101","서북권","111191","서대문구","40","32","34","0.048","0.007","0.7","0.002"
"201906302300","102","동북권","111141","광진구","38","35","38","0.038","0.011","0.6","0.003"
"201906302300","102","동북권","111142","성동구","50","41","43","0.054","0.014","0.4","0.002"
"201906302300","102","동북권","111291","강북구","53","47","36","0.038","0.011","0.4","0.002"
"201906302300","102","동북권","111311","노원구","44","39","34","0.036","0.015","0.5","0.003"
"201906302300","102","동북권","111151","중랑구","36","35","32","0.041","0.013","0.4","0.005"
"201906302300","102","동북권","111152","동대문구","36","33","34","0.047","0.008","0.4","0.004"
"201906302300","102","동북권","111171","도봉구","33","32","25","0.042","0.01","0.4","0.003"
"201906302300","102","동북권","111161","성북구","35","31","21","0.043","0.014","0.7","0.002"
"201906302300","103","서남권","111251","관악구","46","39","37","0.053","0.013","0.3","0.003"
"201906302300","103","서남권","111281","금천구","42","35","31","0.041","0.012","0.4","0.003"
"201906302300","103","서남권","111231","영등포구","44","37","39","0.048","0.014","0.4","0.001"
"201906302300","103","서남권","111221","구로구","27","26","27","0.056","0.007","0.3","0.003"
"201906302300","103","서남권","111212","강서구","37","36","36","0.049","0.011","0.4","0.003"
"201906302300","103","서남권","111301","양천구","48","43","32","0.034","0.013","0.4","0.003"
"201906302300","103","서남권","111241","동작구","52","43","38","0.041","0.01","0.4","0.003"
"201906302300","104","동남권","111273","송파구","42","34","31","0.043","0.014","0.4","0.002"
"201906302300","104","동남권","111261","강남구","39","34","31","0.045","0.008","0.4","0.004"
"201906302300","104","동남권","111274","강동구","41","37","35","0.039","0.009","0.4","0.003"
"201906302300","104","동남권","111262","서초구","0","30","34","0.048","0.009","0.4","0.004"
"201906302200","100","도심권","111123","종로구","39","34","27","0.035","0.015","0.4","0.003"
"201906302200","100","도심권","111121","중구","43","33","31","0.043","0.02","0.6","0.002"
"201906302200","100","도심권","111131","용산구","35","30","33","0.046","0.016","0.4","0.002"
"201906302200","101","서북권","111201","마포구","40","32","32","0.047","0.008","0.4","0.003"
"201906302200","101","서북권","111191","서대문구","37","30","35","0.046","0.008","0.7","0.002"
"201906302200","101","서북권","111181","은평구","40","34","32","0.042","0.016","0.3","0.004"
"201906302200","102","동북권","111161","성북구","35","29","28","0.043","0.014","0.7","0.003"
"201906302200","102","동북권","111151","중랑구","35","37","32","0.039","0.013","0.4","0.005"
"201906302200","102","동북권","111141","광진구","38","34","35","0.034","0.013","0.6","0.003"
"201906302200","102","동북권","111142","성동구","50","39","42","0.046","0.017","0.4","0.002"
"201906302200","102","동북권","111311","노원구","41","38","32","0.037","0.014","0.4","0.004"
"201906302200","102","동북권","111171","도봉구","35","32","24","0.047","0.008","0.4","0.003"
"201906302200","102","동북권","111291","강북구","49","47","35","0.041","0.01","0.4","0.002"
"201906302200","102","동북권","111152","동대문구","36","32","31","0.04","0.01","0.4","0.003"
"201906302200","103","서남권","111251","관악구","50","36","40","0.05","0.014","0.3","0.003"
"201906302200","103","서남권","111301","양천구","49","41","34","0.034","0.012","0.4","0.004"
"201906302200","103","서남권","111241","동작구","48","41","37","0.039","0.01","0.3","0.002"
