"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"201910312300","100","도심권","111123","종로구","144","113","42","0.024","0.038","0.6","0.004"
"201910312300","100","도심권","111131","용산구","144","114","39","0.035","0.042","0.6","0.004"
"201910312300","100","도심권","111121","중구","134","106","41","0.026","0.044","0.6","0.004"
"201910312300","101","서북권","111181","은평구","174","125","55","0.044","0.037","1","0.005"
"201910312300","101","서북권","111191","서대문구","0","0","44","0.033","0.035","1","0.004"
"201910312300","101","서북권","111201","마포구","157","127","46","0.026","0.047","0.6","0.004"
"201910312300","102","동북권","111141","광진구","145","138","38","0.028","0.03","0.7","0.003"
"201910312300","102","동북권","111311","노원구","141","97","53","0.021","0.026","0.8","0.004"
"201910312300","102","동북권","111151","중랑구","159","132","34","0.023","0.041","0.7","0.003"
"201910312300","102","동북권","111171","도봉구","176","121","54","0.066","0.017","0.7","0.003"
"201910312300","102","동북권","111161","성북구","189","151","44","0.027","0.043","0.9","0.002"
"201910312300","102","동북권","111142","성동구","146","116","36","0.04","0.038","0.6","0.002"
"201910312300","102","동북권","111291","강북구","238","164","75","0.05","0.02","0.6","0.003"
"201910312300","102","동북권","111152","동대문구","158","122","36","0.042","0.029","0.6","0.003"
"201910312300","103","서남권","111241","동작구","163","125","40","0.037","0.019","0.5","0.003"
"201910312300","103","서남권","111231","영등포구","127","116","0","0.031","0.036","0.6","0.001"
"201910312300","103","서남권","111212","강서구","221","149","55","0.049","0.03","0.7","0.005"
"201910312300","103","서남권","111251","관악구","149","127","36","0.018","0.021","0.6","0.003"
"201910312300","103","서남권","111301","양천구","171","142","45","0.026","0.048","0.6","0.007"
"201910312300","103","서남권","111221","구로구","122","108","49","0.036","0.033","0.4","0.004"
"201910312300","103","서남권","111281","금천구","114","95","40","0.033","0.027","0.5","0.003"
"201910312300","104","동남권","111261","강남구","128","122","32","0.037","0.035","0.6","0.003"
"201910312300","104","동남권","111262","서초구","175","144","49","0.05","0.027","0.4","0.003"
"201910312300","104","동남권","111274","강동구","173","136","43","0.034","0.033","0.6","0.003"
"201910312300","104","동남권","111273","송파구","110","101","33","0.033","0.032","0.5","0.003"
"201910312200","100","도심권","111131","용산구","139","108","38","0.034","0.04","0.6","0.004"
"201910312200","100","도심권","111121","중구","149","101","42","0.024","0.052","0.7","0.004"
"201910312200","100","도심권","111123","종로구","159","107","43","0.024","0.039","0.7","0.004"
"201910312200","101","서북권","111191","서대문구","0","0","47","0.04","0.032","1","0.005"
"201910312200","101","서북권","111201","마포구","179","120","48","0.039","0.039","0.6","0.004"
"201910312200","101","서북권","111181","은평구","145","119","49","0.018","0.052","1","0.004"
"201910312200","102","동북권","111161","성북구","209","143","48","0.03","0.046","0.9","0.003"
"201910312200","102","동북권","111291","강북구","230","153","67","0.046","0.023","0.6","0.003"
"201910312200","102","동북권","111171","도봉구","166","113","50","0.057","0.021","0.7","0.003"
"201910312200","102","동북권","111141","광진구","155","138","41","0.036","0.025","0.7","0.003"
"201910312200","102","동북권","111311","노원구","135","90","49","0.037","0.019","0.7","0.004"
"201910312200","102","동북권","111142","성동구","140","112","39","0.043","0.036","0.6","0.003"
"201910312200","102","동북권","111151","중랑구","180","127","37","0.031","0.041","0.7","0.003"
"201910312200","102","동북권","111152","동대문구","156","116","35","0.039","0.031","0.6","0.003"
"201910312200","103","서남권","111212","강서구","212","137","54","0.045","0.035","0.6","0.005"
"201910312200","103","서남권","111241","동작구","147","120","39","0.036","0.019","0.5","0.003"
"201910312200","103","서남권","111231","영등포구","137","116","41","0.039","0.032","0.9","0.001"
