노선명,승하차_평균_1501,승하차_평균_1502,승하차_평균_1503,승하차_평균_1504,승하차_평균_1505,승하차_평균_1506,승하차_평균_1507,승하차_평균_1508,승하차_평균_1509,승하차_평균_1510,승하차_평균_1511,승하차_평균_1512,승하차_평균_1601,승하차_평균_1602,승하차_평균_1603,승하차_평균_1604,승하차_평균_1605,승하차_평균_1606,승하차_평균_1607,승하차_평균_1608,승하차_평균_1609,승하차_평균_1610,승하차_평균_1611,승하차_평균_1612,승하차_평균_1701,승하차_평균_1702,승하차_평균_1703,승하차_평균_1704,승하차_평균_1705,승하차_평균_1706,승하차_평균_1707,승하차_평균_1708,승하차_평균_1709,승하차_평균_1710,승하차_평균_1711,승하차_평균_1712,승하차_평균_1801,승하차_평균_1802,승하차_평균_1803,승하차_평균_1804,승하차_평균_1805,승하차_평균_1806,승하차_평균_1807,승하차_평균_1808,승하차_평균_1809,승하차_평균_1810,승하차_평균_1811,승하차_평균_1812,승하차_평균_1901,승하차_평균_1902,승하차_평균_1903,승하차_평균_1904,승하차_평균_1905,승하차_평균_1906,승하차_평균_1907,승하차_평균_1908,승하차_평균_1909,승하차_평균_1910,승하차_평균_1911,승하차_평균_1912,승하차_평균_2001,승하차_평균_2002,승하차_평균_2003,승하차_평균_2004,승하차_평균_2005,승하차_평균_2006,승하차_평균_2007,승하차_평균_2008,승하차_평균_2009,승하차_평균_2010,승하차_평균_2011,승하차_평균_2012,승하차_평균_2101,승하차_평균_2102,승하차_평균_2103,승하차_평균_2104,승하차_평균_2105,승하차_평균_2106,승하차_평균_2107,승하차_평균_2108,승하차_평균_2109,승하차_평균_2110,승하차_평균_2111,승하차_평균_2112,승하차_평균_2201,승하차_평균_2202,승하차_평균_2203,승하차_평균_2204,승하차_평균_2205,승하차_평균_2206,승하차_평균_2207,승하차_평균_2208,승하차_평균_2209,승하차_평균_2210,승하차_평균_2211_x,승하차_평균_2211_y
경원선,7012.0,6858.0,8089.0,8245.0,8142.0,7178.0,7226.0,7040.0,7682.0,8019.0,7806.0,7623.0,6700.0,6779.0,7959.0,8013.0,8071.0,7818.0,7285.0,7187.0,7611.0,7908.0,7822.0,7486.0,6624.0,7188.0,7969.0,8000.0,7921.0,7741.0,7064.0,7042.0,7989.0,7308.0,7737.0,7333.0,6641.0,6639.0,7799.0,7739.0,7835.0,7448.0,6974.0,6748.0,7277.0,7792.0,7786.0,7166.0,6786.0,6664.0,7637.0,7802.0,7902.0,7448.0,7146.0,6901.0,7321.0,7804.0,7597.0,7245.0,6418.0,5559.0,4445.0,4871.0,5439.0,5794.0,5833.0,4878.0,4933.0,5611.0,5701.0,4511.0,4414.0,4995.0,5688.0,5891.0,5695.0,5927.0,5147.0,5025.0,5364.0,5773.0,6168.0,5658.0,5281.0,5017.0,5434.0,6349.0,6706.0,6411.0,6122.0,5880.0,6573.0,6751.0,6731.0,6731.0
경의선,3182.0,3099.0,3767.0,3963.0,3828.0,3479.0,3501.0,3425.0,3903.0,4072.0,3896.0,3793.0,3361.0,3383.0,4084.0,4142.0,3992.0,3892.0,3622.0,3599.0,3844.0,3979.0,4013.0,3805.0,3402.0,3766.0,4191.0,4183.0,4129.0,4131.0,3755.0,3744.0,4289.0,3819.0,4229.0,3827.0,3468.0,3414.0,3997.0,4035.0,4074.0,3942.0,3784.0,3649.0,3886.0,4290.0,4298.0,3881.0,3732.0,3637.0,4078.0,4338.0,4390.0,4203.0,4084.0,3875.0,4114.0,4401.0,4380.0,4173.0,3689.0,3266.0,2605.0,2809.0,3080.0,3346.0,3448.0,2766.0,2769.0,3221.0,3372.0,2596.0,2580.0,2936.0,3450.0,3555.0,3401.0,3601.0,3074.0,2942.0,3188.0,3403.0,3735.0,3500.0,3252.0,3059.0,3308.0,3833.0,4138.0,3949.0,3827.0,3700.0,4050.0,4150.0,4245.0,4245.0
경인선,16290.0,15806.0,18477.0,18774.0,18262.0,16334.0,16524.0,15959.0,17032.0,17989.0,17560.0,17436.0,15469.0,15663.0,18075.0,18188.0,18087.0,17688.0,16512.0,15957.0,16752.0,17215.0,17351.0,16822.0,15074.0,16422.0,17712.0,17515.0,17221.0,17017.0,15659.0,15577.0,17356.0,15684.0,17097.0,16471.0,15009.0,14865.0,17033.0,17096.0,17103.0,16501.0,15594.0,14973.0,15693.0,16899.0,16897.0,15941.0,15375.0,14767.0,16489.0,17100.0,17176.0,16189.0,15728.0,15103.0,15642.0,16726.0,16468.0,15942.0,14209.0,12054.0,9552.0,10669.0,11344.0,11858.0,12389.0,10519.0,10396.0,11778.0,12152.0,9644.0,9614.0,10730.0,12229.0,12526.0,11959.0,12472.0,10771.0,10295.0,10944.0,11675.0,12537.0,11738.0,11001.0,10385.0,10835.0,12670.0,13519.0,13047.0,12506.0,11995.0,13075.0,13306.0,13478.0,13478.0
경춘선,1684.0,1658.0,1985.0,2101.0,2309.0,1811.0,1874.0,2081.0,1991.0,2126.0,1874.0,1795.0,1593.0,1646.0,1983.0,2141.0,2212.0,2111.0,1968.0,2098.0,2010.0,2110.0,1947.0,1822.0,1658.0,1847.0,2079.0,2210.0,2270.0,2137.0,1938.0,2077.0,2187.0,2138.0,2050.0,1860.0,1675.0,1665.0,2023.0,2133.0,2237.0,2105.0,1996.0,1989.0,2060.0,2196.0,2109.0,1861.0,1776.0,1775.0,2060.0,2190.0,2290.0,2126.0,2031.0,2065.0,2013.0,2211.0,2102.0,1943.0,1768.0,1505.0,1192.0,1417.0,1581.0,1661.0,1776.0,1445.0,1435.0,1715.0,1642.0,1257.0,1243.0,1436.0,1674.0,1831.0,1769.0,1831.0,1586.0,1570.0,1696.0,1848.0,1877.0,1670.0,1545.0,1483.0,1565.0,1906.0,2127.0,2014.0,1940.0,1858.0,1997.0,2082.0,1990.0,1990.0
공항철도 1호선,8031.0,7866.0,8313.0,8033.0,7988.0,7139.0,7610.0,7781.0,7799.0,8162.0,7932.0,8068.0,7602.0,7724.0,7932.0,7605.0,7690.0,7811.0,7716.0,7519.0,7133.0,7391.0,7355.0,7319.0,6964.0,7478.0,7354.0,7643.0,7548.0,7750.0,7533.0,7787.0,7987.0,7332.0,7911.0,7896.0,7543.0,7353.0,7647.0,7713.0,7714.0,7723.0,7804.0,8074.0,7621.0,7789.0,7873.0,7593.0,7610.0,7478.0,7912.0,8221.0,8272.0,8129.0,8233.0,8286.0,7834.0,8479.0,8383.0,8315.0,7711.0,6255.0,4177.0,4397.0,4670.0,5138.0,5478.0,4744.0,4434.0,5170.0,5390.0,4139.0,4199.0,4859.0,5399.0,5595.0,5414.0,5748.0,4997.0,4914.0,5057.0,5540.0,6147.0,5782.0,5502.0,5171.0,5219.0,6251.0,6942.0,6960.0,7035.0,6918.0,7110.0,7530.0,7716.0,7716.0
과천선,13326.0,12337.0,14531.0,15495.0,15469.0,12703.0,13487.0,13150.0,13529.0,14991.0,14214.0,14237.0,12908.0,12378.0,14288.0,15086.0,15142.0,14300.0,13539.0,13007.0,13426.0,14640.0,14310.0,13999.0,12178.0,13675.0,14125.0,15073.0,14345.0,14044.0,12942.0,12769.0,14319.0,12742.0,14076.0,13557.0,12647.0,12153.0,13842.0,14499.0,14521.0,13750.0,13200.0,12829.0,13067.0,14456.0,14391.0,13406.0,13151.0,12319.0,13843.0,15019.0,14954.0,14117.0,13629.0,13060.0,13146.0,14509.0,14187.0,13691.0,12105.0,10686.0,7775.0,8749.0,9304.0,10005.0,10301.0,8395.0,8412.0,9663.0,10128.0,7855.0,8117.0,8906.0,10114.0,10578.0,9927.0,10596.0,9062.0,8635.0,9141.0,9961.0,11324.0,10510.0,9980.0,9298.0,9703.0,11861.0,12823.0,12067.0,11818.0,11124.0,11961.0,12712.0,12670.0,12670.0
분당선,10404.0,9840.0,11395.0,11494.0,11006.0,9901.0,10492.0,9960.0,10527.0,11098.0,11187.0,11334.0,10182.0,9813.0,11172.0,10979.0,10898.0,10779.0,10283.0,9970.0,10195.0,10574.0,10769.0,10782.0,9776.0,10800.0,11304.0,11099.0,10750.0,10930.0,10281.0,10236.0,11279.0,9766.0,11301.0,10970.0,10429.0,10145.0,11447.0,11264.0,11072.0,10706.0,10616.0,10203.0,10186.0,11078.0,11480.0,10830.0,10635.0,9961.0,11069.0,11515.0,11540.0,10888.0,11108.0,10457.0,10553.0,11438.0,11502.0,11241.0,10116.0,8881.0,6509.0,7382.0,8084.0,8708.0,9109.0,7520.0,7361.0,8464.0,8855.0,6990.0,7338.0,7964.0,9051.0,9262.0,8777.0,9337.0,8109.0,7705.0,8052.0,8776.0,9650.0,9278.0,8711.0,8136.0,8407.0,9760.0,10350.0,10011.0,9814.0,9506.0,10111.0,10244.0,10732.0,10732.0
수인선,2744.0,2629.0,3095.0,3240.0,3305.0,2936.0,2939.0,2906.0,3225.0,3491.0,3188.0,3104.0,2720.0,2778.0,3158.0,3251.0,3357.0,3261.0,3089.0,3233.0,3508.0,3753.0,3563.0,3417.0,3065.0,3363.0,3764.0,3799.0,3836.0,3725.0,3298.0,3304.0,3888.0,3478.0,3624.0,3427.0,3094.0,2991.0,3597.0,3688.0,3770.0,3616.0,3322.0,3163.0,3456.0,3805.0,3705.0,3424.0,3235.0,3095.0,3621.0,3826.0,3921.0,3621.0,3456.0,3281.0,3507.0,3840.0,3680.0,3467.0,3023.0,2627.0,2119.0,2396.0,2515.0,2657.0,2732.0,2308.0,2288.0,2570.0,2556.0,2036.0,2128.0,2338.0,2707.0,2832.0,2703.0,2850.0,2432.0,2321.0,2568.0,2831.0,2950.0,2741.0,2540.0,2395.0,2663.0,3131.0,3354.0,3150.0,2915.0,2799.0,3251.0,3381.0,3342.0,3342.0
안산선,9525.0,9323.0,11057.0,11222.0,11073.0,9628.0,9739.0,9473.0,10467.0,10842.0,10512.0,10267.0,9137.0,9182.0,10815.0,10959.0,10997.0,10506.0,9753.0,9497.0,10134.0,10520.0,10471.0,10029.0,9010.0,9709.0,10721.0,10830.0,10640.0,10359.0,9356.0,9353.0,10715.0,9778.0,10507.0,9894.0,9064.0,8974.0,10457.0,10791.0,10654.0,10158.0,9467.0,9173.0,9810.0,10468.0,10511.0,9662.0,9204.0,8958.0,10239.0,10788.0,10839.0,10031.0,9558.0,9194.0,9777.0,10401.0,10249.0,9776.0,8704.0,7432.0,6000.0,6666.0,7237.0,7653.0,7712.0,6532.0,6681.0,7799.0,7967.0,6216.0,6219.0,6946.0,7988.0,8265.0,7836.0,8224.0,7014.0,6673.0,7198.0,7840.0,8432.0,7823.0,7232.0,6789.0,7513.0,8721.0,9294.0,8754.0,8298.0,7907.0,8944.0,9133.0,9240.0,9240.0
일산선,9589.0,9178.0,10505.0,11121.0,10750.0,9385.0,9909.0,9665.0,10117.0,10818.0,10549.0,10729.0,9671.0,9611.0,10822.0,10822.0,11265.0,10719.0,10236.0,10086.0,10185.0,10833.0,10955.0,10816.0,9603.0,10622.0,11155.0,11287.0,11145.0,11022.0,10320.0,10669.0,11630.0,10463.0,11346.0,11111.0,10242.0,10112.0,11298.0,11331.0,11633.0,11016.0,10835.0,10602.0,10629.0,11410.0,11594.0,10904.0,10638.0,10297.0,11139.0,11756.0,12114.0,11040.0,11176.0,10863.0,10880.0,11734.0,11760.0,11360.0,10279.0,8803.0,6919.0,7580.0,8423.0,8982.0,9132.0,7559.0,7463.0,8440.0,8700.0,6917.0,7037.0,7967.0,8859.0,9170.0,8669.0,9118.0,8041.0,7813.0,8202.0,8758.0,9388.0,8845.0,8214.0,7950.0,8110.0,9454.0,10181.0,9628.0,9466.0,9130.0,9763.0,9949.0,10077.0,10077.0
장항선,2220.0,2191.0,2980.0,2938.0,2961.0,2086.0,2006.0,2119.0,2716.0,2752.0,2729.0,2516.0,2162.0,2140.0,2848.0,2816.0,2836.0,2484.0,2042.0,2140.0,2629.0,2758.0,2713.0,2448.0,2155.0,2287.0,2914.0,2933.0,2913.0,2580.0,2083.0,2229.0,2825.0,2612.0,2783.0,2467.0,2091.0,2126.0,2824.0,2794.0,2857.0,2517.0,2093.0,2103.0,2608.0,2741.0,2835.0,2464.0,2162.0,2183.0,2840.0,2900.0,2935.0,2562.0,2165.0,2155.0,2664.0,2774.0,2735.0,2477.0,2015.0,1440.0,989.0,1309.0,1641.0,1746.0,1741.0,1473.0,1452.0,1822.0,1782.0,1367.0,1311.0,1471.0,1807.0,1901.0,1853.0,1839.0,1563.0,1534.0,1857.0,2069.0,1982.0,1623.0,1404.0,1385.0,1908.0,2208.0,2447.0,2163.0,1862.0,1799.0,2450.0,2464.0,2522.0,2522.0
