"측정소행정용코드","측정소명"
"111151","중랑구"
"111311","노원구"
"111181","은평구"
"111191","서대문구"
"111201","마포구"
"111301","양천구"
"111212","강서구"
"111221","구로구"
"111281","금천구"
"111231","영등포구"
"111241","동작구"
"111273","송파구"
"111274","강동구"
"111123","종로구"
"111121","중구"
"111131","용산구"
"111142","성동구"
"111141","광진구"
"111152","동대문구"
"111161","성북구"
"111291","강북구"
"111171","도봉구"
"111251","관악구"
"111262","서초구"
"111261","강남구"
