"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"202001312300","100","도심권","111123","종로구","46","47","34","0.016","0.034","0.6","0.003"
"202001312300","100","도심권","111131","용산구","48","46","36","0.016","0.033","0.7","0.003"
"202001312300","100","도심권","111121","중구","44","42","37","0.019","0.032","0.6","0.003"
"202001312300","101","서북권","111181","은평구","48","47","33","0.002","0.041","0.9","0.002"
"202001312300","101","서북권","111191","서대문구","47","47","39","0.008","0.044","1.5","0.006"
"202001312300","101","서북권","111201","마포구","44","42","33","0.01","0.051","0.4","0.004"
"202001312300","102","동북권","111141","광진구","0","43","30","0.017","0.029","0.7","0.002"
"202001312300","102","동북권","111311","노원구","48","39","44","0.002","0.052","1","0.005"
"202001312300","102","동북권","111151","중랑구","49","44","29","0.007","0.052","0.8","0.003"
"202001312300","102","동북권","111171","도봉구","39","37","30","0.02","0.026","0.5","0.003"
"202001312300","102","동북권","111161","성북구","45","45","32","0.007","0.053","1.1","0.003"
"202001312300","102","동북권","111142","성동구","47","43","35","0.015","0.041","0.6","0.003"
"202001312300","102","동북권","111291","강북구","56","53","39","0.016","0.036","0.7","0.003"
"202001312300","102","동북권","111152","동대문구","41","39","29","0.02","0.033","0.6","0.003"
"202001312300","103","서남권","111241","동작구","51","49","37","0.021","0.029","0.5","0.003"
"202001312300","103","서남권","111231","영등포구","44","44","34","0.014","0.039","0.7","0.003"
"202001312300","103","서남권","111212","강서구","56","56","35","0.005","0.055","0.7","0.006"
"202001312300","103","서남권","111251","관악구","50","52","38","0.012","0.05","0.8","0.004"
"202001312300","103","서남권","111301","양천구","52","49","35","0.013","0.049","0.7","0.004"
"202001312300","103","서남권","111221","구로구","42","41","31","0.021","0.036","0.5","0.005"
"202001312300","103","서남권","111281","금천구","51","50","42","0.012","0.041","0.7","0.004"
"202001312300","104","동남권","111261","강남구","41","40","30","0.031","0.026","0.6","0.003"
"202001312300","104","동남권","111262","서초구","49","47","31","0.026","0.036","0.5","0.003"
"202001312300","104","동남권","111274","강동구","52","49","42","0.016","0.04","0.6","0.003"
"202001312300","104","동남권","111273","송파구","46","43","36","0.014","0.04","0.7","0.004"
"202001312200","100","도심권","111131","용산구","46","44","35","0.017","0.031","0.6","0.003"
"202001312200","100","도심권","111121","중구","42","40","35","0.024","0.025","0.5","0.003"
"202001312200","100","도심권","111123","종로구","47","46","35","0.018","0.03","0.6","0.004"
"202001312200","101","서북권","111191","서대문구","46","46","36","0.007","0.047","1.3","0.005"
"202001312200","101","서북권","111201","마포구","40","42","30","0.016","0.039","0.3","0.003"
"202001312200","101","서북권","111181","은평구","52","45","33","0.003","0.042","0.8","0.002"
"202001312200","102","동북권","111161","성북구","47","45","35","0.008","0.051","1","0.003"
"202001312200","102","동북권","111291","강북구","60","51","42","0.015","0.039","0.7","0.002"
"202001312200","102","동북권","111171","도봉구","39","35","0","0.019","0.028","0.6","0.003"
"202001312200","102","동북권","111141","광진구","44","42","33","0.018","0.028","0.7","0.002"
"202001312200","102","동북권","111311","노원구","45","36","40","0.008","0.044","0.8","0.004"
"202001312200","102","동북권","111142","성동구","44","41","34","0.016","0.039","0.6","0.003"
"202001312200","102","동북권","111151","중랑구","46","42","28","0.01","0.048","0.7","0.003"
"202001312200","102","동북권","111152","동대문구","40","38","29","0.019","0.033","0.7","0.003"
"202001312200","103","서남권","111212","강서구","51","56","32","0.011","0.046","0.7","0.005"
"202001312200","103","서남권","111241","동작구","49","48","35","0.021","0.027","0.5","0.003"
"202001312200","103","서남권","111231","영등포구","41","44","31","0.023","0.031","0.6","0.003"
"202001312200","103","서남권","111221","구로구","41","40","31","0.021","0.034","0.5","0.005"
"202001312200","103","서남권","111281","금천구","50","48","39","0.015","0.037","0.7","0.003"
"202001312200","103","서남권","111301","양천구","47","48","34","0.017","0.042","0.6","0.004"
"202001312200","103","서남권","111251","관악구","54","50","39","0.015","0.043","0.8","0.003"
"202001312200","104","동남권","111261","강남구","40","39","30","0.03","0.025","0.6","0.003"
"202001312200","104","동남권","111274","강동구","52","47","43","0.019","0.036","0.6","0.003"
"202001312200","104","동남권","111262","서초구","47","40","0","0.025","0.036","0.5","0.003"
"202001312200","104","동남권","111273","송파구","45","41","38","0.013","0.04","0.7","0.003"
"202001312100","100","도심권","111123","종로구","51","45","38","0.014","0.037","0.7","0.004"
"202001312100","100","도심권","111131","용산구","48","42","36","0.02","0.029","0.6","0.003"
"202001312100","100","도심권","111121","중구","44","38","37","0.017","0.033","0.6","0.003"
"202001312100","101","서북권","111181","은평구","49","43","32","0.014","0.036","0.8","0.003"
"202001312100","101","서북권","111191","서대문구","49","44","37","0.008","0.048","0.9","0.003"
"202001312100","101","서북권","111201","마포구","41","41","29","0.017","0.036","0.3","0.004"
"202001312100","102","동북권","111151","중랑구","47","40","26","0.011","0.046","0.8","0.003"
"202001312100","102","동북권","111152","동대문구","41","36","28","0.016","0.037","0.6","0.002"
"202001312100","102","동북권","111142","성동구","44","40","34","0.016","0.039","0.6","0.003"
"202001312100","102","동북권","111311","노원구","43","34","38","0.014","0.036","0.6","0.004"
"202001312100","102","동북권","111171","도봉구","39","34","34","0.022","0.027","0.5","0.003"
"202001312100","102","동북권","111161","성북구","47","44","33","0.014","0.043","0.9","0.003"
"202001312100","102","동북권","111141","광진구","42","40","36","0.017","0.029","0.7","0.002"
"202001312100","102","동북권","111291","강북구","55","49","39","0.021","0.037","0.6","0.003"
"202001312100","103","서남권","111281","금천구","51","47","41","0.015","0.039","0.6","0.003"
"202001312100","103","서남권","111231","영등포구","45","42","31","0.023","0.029","0.6","0.003"
"202001312100","103","서남권","111212","강서구","60","55","37","0.013","0.041","0.7","0.005"
"202001312100","103","서남권","111251","관악구","53","48","39","0.016","0.042","0.7","0.003"
"202001312100","103","서남권","111221","구로구","35","40","29","0.027","0.028","0.4","0.004"
"202001312100","103","서남권","111241","동작구","49","47","33","0.023","0.025","0.5","0.003"
"202001312100","103","서남권","111301","양천구","47","47","33","0.016","0.041","0.6","0.004"
"202001312100","104","동남권","111261","강남구","42","38","32","0.027","0.028","0.6","0.003"
"202001312100","104","동남권","111262","서초구","47","44","31","0.029","0.031","0.4","0.003"
"202001312100","104","동남권","111273","송파구","44","39","38","0.022","0.031","0.6","0.003"
"202001312100","104","동남권","111274","강동구","52","46","45","0.018","0.038","0.6","0.003"
"202001312000","100","도심권","111121","중구","43","36","36","0.016","0.035","0.6","0.003"
"202001312000","100","도심권","111131","용산구","46","41","36","0.021","0.028","0.6","0.003"
"202001312000","100","도심권","111123","종로구","55","43","40","0.012","0.041","0.7","0.004"
"202001312000","101","서북권","111201","마포구","41","40","31","0.014","0.04","0.3","0.004"
"202001312000","101","서북권","111181","은평구","44","42","29","0.02","0.032","0.8","0.003"
"202001312000","101","서북권","111191","서대문구","47","41","32","0.014","0.042","0.8","0.002"
"202001312000","102","동북권","111142","성동구","44","38","34","0.017","0.039","0.6","0.003"
