"측정일시","권역코드","권역명","측정소코드","측정소명","미세먼지 1시간(㎍/㎥)","미세먼지 24시간(㎍/㎥)","초미세먼지(㎍/㎥)","오존(ppm)","이산화질소농도(ppm)","일산화탄소농도(ppm)","아황산가스농도(ppm)"
"201912312300","100","도심권","111123","종로구","20","24","19","0.014","0.022","0.5","0.003"
"201912312300","100","도심권","111131","용산구","15","15","15","0.007","0.025","0.4","0.002"
"201912312300","100","도심권","111121","중구","21","23","17","0.012","0.022","0.4","0.002"
"201912312300","101","서북권","111181","은평구","22","22","13","0.009","0.023","0.5","0.003"
"201912312300","101","서북권","111191","서대문구","28","24","15","0.008","0.031","0.9","0.005"
"201912312300","101","서북권","111201","마포구","26","21","15","0.002","0.043","0.6","0.002"
"201912312300","102","동북권","111141","광진구","21","20","8","0.007","0.027","0.5","0.002"
"201912312300","102","동북권","111311","노원구","25","20","20","0.006","0.034","0.6","0.005"
"201912312300","102","동북권","111151","중랑구","21","21","10","0.012","0.026","0.4","0.003"
"201912312300","102","동북권","111171","도봉구","17","17","14","0.014","0.021","0.5","0.002"
"201912312300","102","동북권","111161","성북구","27","23","13","0.005","0.041","0.7","0.003"
"201912312300","102","동북권","111142","성동구","21","21","17","0.014","0.027","0.4","0.003"
"201912312300","102","동북권","111291","강북구","25","25","16","0.013","0.028","0.4","0.002"
"201912312300","102","동북권","111152","동대문구","19","22","11","0.014","0.022","0.4","0.003"
"201912312300","103","서남권","111241","동작구","29","27","21","0.002","0.043","0.5","0.003"
"201912312300","103","서남권","111231","영등포구","23","21","14","0.005","0.033","0.6","0.002"
"201912312300","103","서남권","111212","강서구","29","29","17","0.004","0.037","0.5","0.004"
"201912312300","103","서남권","111251","관악구","26","27","18","0.014","0.043","0.6","0.003"
"201912312300","103","서남권","111301","양천구","28","27","18","0.004","0.038","0.5","0.004"
"201912312300","103","서남권","111221","구로구","15","20","10","0.007","0.035","0.3","0.003"
"201912312300","103","서남권","111281","금천구","28","22","0","0.003","0.039","0.5","0.004"
"201912312300","104","동남권","111261","강남구","19","21","15","0.007","0.034","0.5","0.003"
"201912312300","104","동남권","111262","서초구","25","26","13","0.014","0.037","0.3","0.003"
"201912312300","104","동남권","111274","강동구","25","24","18","0.004","0.04","0.5","0.003"
"201912312300","104","동남권","111273","송파구","21","24","15","0.01","0.028","0.5","0.003"
"201912312200","100","도심권","111131","용산구","17","15","14","0.008","0.026","0.4","0.003"
"201912312200","100","도심권","111121","중구","25","23","20","0.016","0.018","0.4","0.002"
"201912312200","100","도심권","111123","종로구","23","24","18","0.021","0.014","0.4","0.003"
"201912312200","101","서북권","111191","서대문구","27","23","12","0.02","0.016","0.8","0.005"
"201912312200","101","서북권","111201","마포구","20","20","12","0.01","0.028","0.5","0.002"
"201912312200","101","서북권","111181","은평구","27","21","14","0.014","0.019","0.5","0.003"
"201912312200","102","동북권","111161","성북구","20","22","10","0.023","0.017","0.6","0.003"
"201912312200","102","동북권","111291","강북구","24","25","15","0.016","0.026","0.4","0.002"
"201912312200","102","동북권","111171","도봉구","14","16","11","0.023","0.014","0.4","0.002"
"201912312200","102","동북권","111141","광진구","20","20","9","0.012","0.023","0.5","0.002"
"201912312200","102","동북권","111311","노원구","19","19","15","0.011","0.028","0.6","0.005"
"201912312200","102","동북권","111142","성동구","22","21","15","0.015","0.026","0.4","0.003"
"201912312200","102","동북권","111151","중랑구","20","20","10","0.014","0.024","0.5","0.002"
